date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-8,60002,122,1710,0,13,19,24,25,21,16,0,0,64,58,0,54,8,25,0,0,28,0,0
2020-7-8,60004,387,8526,0,33,60,54,58,60,42,26,50,167,192,28,119,9,152,20,17,69,0,0
2020-7-8,60005,232,4183,0,10,38,39,40,34,26,19,26,104,128,0,64,13,84,8,10,52,0,0
2020-7-8,60007,379,3768,0,17,38,35,49,52,52,54,82,174,202,0,124,0,162,15,12,58,0,0
2020-7-8,60008,359,4258,0,27,40,68,80,66,49,20,9,191,165,0,58,0,128,11,6,151,0,0
2020-7-8,60010,183,3796,0,19,26,24,13,36,25,15,25,94,88,0,89,0,70,0,8,9,0,0
2020-7-8,60012,93,864,0,0,7,0,6,15,0,12,43,40,52,0,67,0,13,0,0,8,0,0
2020-7-8,60013,126,1704,0,13,21,22,18,25,21,0,0,57,69,0,69,0,9,0,0,45,0,0
2020-7-8,60014,339,4103,0,33,40,60,53,51,41,25,36,144,193,0,198,11,15,0,10,102,0,0
2020-7-8,60015,203,3029,0,12,20,17,28,31,20,31,44,83,118,0,139,6,25,13,10,9,0,0
2020-7-8,60016,1156,8473,0,62,188,168,177,214,188,73,85,556,572,28,254,52,320,115,184,216,7,8
2020-7-8,60018,697,4907,0,40,122,104,126,112,74,39,80,328,352,17,120,13,245,27,27,261,0,0
2020-7-8,60020,46,1060,0,0,0,11,11,8,8,0,0,18,27,0,19,0,13,0,0,8,0,0
2020-7-8,60021,23,360,0,0,6,0,0,8,0,0,0,7,16,0,18,0,0,0,0,0,0,0
2020-7-8,60022,34,807,0,6,8,0,0,9,0,0,0,19,15,0,24,0,0,0,0,0,0,0
2020-7-8,60025,404,4882,0,19,54,44,87,78,50,29,43,195,186,23,171,7,76,45,47,54,0,0
2020-7-8,60026,164,2907,0,0,13,17,20,24,13,20,53,51,101,12,73,0,33,16,24,13,0,0
2020-7-8,60029,8,95,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-7-8,60030,220,3615,0,24,52,27,30,36,29,12,10,105,108,7,101,13,23,12,8,61,0,0
2020-7-8,60031,377,4428,0,35,76,62,50,69,39,18,28,168,205,0,118,48,43,23,26,115,0,0
2020-7-8,60033,233,1494,0,35,38,43,54,36,15,7,0,110,123,0,33,0,7,0,0,188,0,0
2020-7-8,60035,295,4507,0,15,50,47,45,45,26,28,39,148,145,0,144,14,40,21,8,65,0,0
2020-7-8,60040,181,961,0,12,12,26,29,28,17,22,35,80,95,6,65,0,15,0,0,94,0,0
2020-7-8,60041,55,864,0,0,11,10,8,11,7,0,0,26,29,0,25,0,8,0,0,17,0,0
2020-7-8,60042,53,645,0,0,14,9,10,9,0,0,0,24,29,0,17,0,8,0,0,25,0,0
2020-7-8,60043,19,291,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-8,60044,114,1433,0,6,9,13,7,12,10,15,42,46,68,0,61,10,9,7,15,12,0,0
2020-7-8,60045,136,2546,0,7,26,9,22,30,22,8,12,73,62,0,98,0,19,7,6,0,0,0
2020-7-8,60046,237,2973,0,28,34,36,31,50,29,8,21,118,118,0,103,14,31,11,10,66,0,0
2020-7-8,60047,487,5057,0,34,30,30,50,60,59,74,150,213,273,0,304,0,119,8,9,44,0,0
2020-7-8,60048,180,2757,0,10,16,13,28,15,21,22,55,79,98,0,128,8,21,7,0,12,0,0
2020-7-8,60050,242,2970,0,12,24,27,47,41,37,29,25,124,118,0,131,0,12,0,10,83,0,0
2020-7-8,60051,137,2006,0,8,23,14,26,31,22,8,0,66,70,0,90,0,0,0,0,35,0,0
2020-7-8,60053,331,3218,0,11,33,56,45,56,69,30,31,165,166,0,89,15,81,39,73,25,0,0
2020-7-8,60056,677,6182,0,41,108,138,153,123,66,26,22,333,336,8,133,15,202,42,54,224,0,0
2020-7-8,60060,476,3496,0,48,100,62,89,104,59,6,8,241,232,0,90,8,62,31,20,263,0,0
2020-7-8,60061,188,2637,0,12,37,29,32,31,20,9,18,93,95,0,71,6,23,9,19,58,0,0
2020-7-8,60062,358,6482,0,14,37,27,43,60,57,42,78,164,186,8,176,6,87,33,30,23,0,0
2020-7-8,60064,671,2358,0,110,182,91,94,86,69,24,15,383,279,9,126,138,57,21,21,305,0,0
2020-7-8,60067,270,5494,0,25,47,39,36,42,31,21,29,106,156,8,109,9,89,14,8,36,0,0
2020-7-8,60068,347,4686,0,16,48,37,33,50,48,24,91,146,192,9,205,0,79,18,21,19,0,0
2020-7-8,60069,99,2129,0,0,13,8,7,14,10,16,30,40,59,0,63,0,21,0,0,0,0,0
2020-7-8,60070,279,2166,0,24,38,55,65,45,22,12,18,141,134,0,42,0,63,12,7,150,0,0
2020-7-8,60071,17,267,0,0,0,0,0,0,0,0,0,8,9,0,13,0,0,0,0,0,0,0
2020-7-8,60073,1140,7718,0,138,224,218,252,183,76,34,14,537,590,13,131,35,127,39,25,780,0,0
2020-7-8,60074,492,4127,0,41,85,114,98,81,50,12,11,231,255,6,65,15,148,12,16,235,0,0
2020-7-8,60076,558,5345,0,40,81,86,78,106,79,32,56,245,308,0,129,47,98,128,91,61,0,0
2020-7-8,60077,437,4083,0,22,58,91,73,74,65,34,20,205,229,0,101,29,75,74,76,69,11,0
2020-7-8,60079,12,98,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2020-7-8,60081,50,670,0,0,16,0,10,0,8,0,0,21,29,0,34,0,0,0,0,9,0,0
2020-7-8,60083,106,1162,0,0,17,24,21,13,19,7,0,53,52,0,23,21,9,7,16,30,0,0
2020-7-8,60084,196,1510,0,15,33,30,38,21,10,26,23,80,115,0,65,0,38,0,0,85,0,0
2020-7-8,60085,2496,11898,0,261,466,429,498,468,267,74,33,1157,1294,45,186,192,280,55,11,1765,0,0
2020-7-8,60087,701,4434,0,81,128,101,139,125,70,30,27,322,368,11,78,60,92,27,13,429,0,0
2020-7-8,60088,184,659,0,45,91,32,7,0,0,0,0,119,65,0,88,46,16,0,7,23,0,0
2020-7-8,60089,343,4190,0,12,38,35,57,53,45,36,67,147,195,0,164,0,67,14,24,71,0,0
2020-7-8,60090,845,5203,0,51,131,129,150,134,99,48,103,417,414,14,133,10,232,37,31,397,0,0
2020-7-8,60091,179,2699,0,19,23,17,27,32,21,17,23,86,93,0,121,0,27,12,6,8,0,0
2020-7-8,60093,193,2331,0,30,37,24,33,40,11,9,9,104,85,0,104,0,26,10,7,44,0,0
2020-7-8,60096,41,548,0,0,7,7,8,8,0,0,0,19,22,0,24,0,0,0,0,7,0,0
2020-7-8,60097,45,832,0,0,10,0,0,10,11,0,0,21,24,0,35,0,0,0,0,7,0,0
2020-7-8,60098,375,4006,0,35,53,38,45,67,66,34,37,187,186,0,178,12,24,0,9,149,0,0
2020-7-8,60099,606,4459,0,91,119,96,127,82,44,32,15,266,332,8,67,141,57,19,10,312,0,0
2020-7-8,60101,845,5053,0,68,159,158,192,137,89,28,14,452,390,0,111,18,147,27,16,524,0,0
2020-7-8,60102,201,2565,0,24,35,32,31,45,20,7,7,99,101,0,95,7,25,0,21,48,0,0
2020-7-8,60103,325,4129,0,14,56,51,61,73,44,14,12,143,177,0,94,7,125,9,32,56,0,0
2020-7-8,60104,453,3192,0,34,83,54,83,93,51,42,13,225,222,6,25,218,87,16,0,101,0,0
2020-7-8,60106,542,3720,0,36,101,119,101,86,51,24,24,305,235,0,76,15,108,12,15,316,0,0
2020-7-8,60107,685,5266,0,46,135,129,130,134,68,34,8,342,327,16,63,13,280,15,41,260,10,0
2020-7-8,60108,353,3828,0,14,38,37,39,40,66,50,69,156,172,25,145,14,99,8,29,52,0,0
2020-7-8,60109,12,342,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0
2020-7-8,60110,766,3874,0,97,146,127,190,123,61,17,0,386,368,12,65,19,248,6,7,421,0,0
2020-7-8,60112,30,414,0,0,0,6,7,7,0,0,0,14,16,0,0,0,0,0,0,20,0,0
2020-7-8,60115,316,4590,0,30,80,54,38,32,18,26,38,135,181,0,110,43,25,0,6,128,0,0
