date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-8-4,60002,155,2563,0,18,27,28,28,25,21,6,0,80,75,0,72,8,34,0,0,32,0,0
2020-8-4,60004,434,11720,0,40,79,63,63,68,41,29,51,198,211,25,141,7,172,20,19,73,0,0
2020-8-4,60005,290,6190,0,27,51,47,48,40,29,20,28,133,156,0,98,13,98,13,11,56,0,0
2020-8-4,60007,411,5211,0,20,42,48,54,58,54,53,82,190,218,0,142,0,174,16,12,59,0,0
2020-8-4,60008,434,5615,0,41,58,74,86,84,54,24,13,223,208,0,93,7,155,15,7,157,0,0
2020-8-4,60010,298,6491,0,47,55,29,29,52,37,20,29,157,140,0,139,0,120,13,13,11,0,0
2020-8-4,60012,115,1360,0,6,14,7,8,15,8,14,43,53,61,0,82,0,16,0,0,9,0,0
2020-8-4,60013,206,2909,0,23,43,33,26,42,30,6,0,96,110,0,116,0,30,0,0,54,0,0
2020-8-4,60014,478,6333,0,63,81,76,78,60,51,31,38,209,267,0,273,13,44,0,12,131,0,0
2020-8-4,60015,255,4941,0,36,30,20,27,39,26,32,45,106,149,0,170,7,36,18,12,10,0,0
2020-8-4,60016,1272,11761,0,75,214,193,192,230,200,79,89,611,635,26,293,58,342,130,200,235,6,8
2020-8-4,60018,750,6926,0,46,134,113,135,118,81,42,81,353,382,15,137,16,257,30,30,275,0,0
2020-8-4,60020,73,1627,0,8,15,15,13,12,9,0,0,31,41,0,30,0,24,0,0,11,0,0
2020-8-4,60021,35,567,0,0,9,0,0,11,0,0,0,13,22,0,29,0,0,0,0,0,0,0
2020-8-4,60022,51,1429,0,10,15,0,0,14,0,0,0,27,24,0,37,0,6,0,0,0,0,0
2020-8-4,60025,509,7616,0,62,78,50,98,89,57,30,45,239,246,24,237,7,97,61,50,53,0,0
2020-8-4,60026,209,4521,0,22,22,18,21,28,16,24,58,75,122,12,99,0,44,23,26,12,0,0
2020-8-4,60029,12,146,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-8-4,60030,300,5768,0,33,78,45,37,46,36,15,10,145,148,7,132,18,42,19,10,77,0,0
2020-8-4,60031,472,7209,0,50,105,73,62,82,49,23,28,206,262,0,161,58,62,26,25,136,0,0
2020-8-4,60033,289,2307,0,46,52,53,63,41,18,11,0,135,150,0,48,0,12,0,0,224,0,0
2020-8-4,60034,6,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-8-4,60035,345,7458,0,26,55,55,48,56,29,29,47,174,170,0,165,18,56,24,11,67,0,0
2020-8-4,60040,186,1332,0,14,14,27,30,26,18,23,34,81,101,0,63,0,16,0,0,101,0,0
2020-8-4,60041,68,1319,0,0,15,12,11,11,9,0,0,33,35,0,34,0,9,0,0,19,0,0
