date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-5,60002,119,1646,0,10,19,24,25,21,16,0,0,61,58,0,52,6,27,0,0,27,0,0
2020-7-5,60004,385,8175,0,31,60,53,59,60,42,25,50,167,190,28,118,9,150,19,17,71,0,0
2020-7-5,60005,226,3917,0,10,34,39,39,33,26,19,26,102,124,0,63,13,80,7,10,52,0,0
2020-7-5,60007,376,3612,0,16,38,35,49,51,52,54,81,172,200,0,122,0,161,15,12,58,0,0
2020-7-5,60008,354,4087,0,27,38,68,79,65,49,19,9,189,162,0,57,0,124,11,6,151,0,0
2020-7-5,60010,177,3598,0,18,22,24,12,36,25,15,25,94,82,0,86,0,68,0,8,9,0,0
2020-7-5,60012,89,820,0,0,0,0,6,14,0,12,43,39,49,0,66,0,10,0,0,8,0,0
2020-7-5,60013,123,1605,0,14,18,21,18,25,21,0,0,55,68,0,65,0,11,0,0,44,0,0
2020-7-5,60014,324,3926,0,28,37,58,51,49,41,25,35,138,184,0,189,11,12,0,9,100,0,0
2020-7-5,60015,198,2868,0,10,20,17,26,31,20,30,44,79,118,0,135,6,24,13,10,9,0,0
2020-7-5,60016,1146,8175,0,61,185,168,175,214,186,72,84,552,566,28,253,52,313,115,182,216,7,8
2020-7-5,60018,689,4807,0,39,121,102,126,110,73,39,79,323,349,17,117,12,243,27,25,261,0,0
2020-7-5,60020,44,1015,0,0,0,10,10,8,8,0,0,18,25,0,19,0,12,0,0,8,0,0
2020-7-5,60021,22,344,0,0,6,0,0,8,0,0,0,7,15,0,17,0,0,0,0,0,0,0
2020-7-5,60022,33,754,0,6,8,0,0,9,0,0,0,18,15,0,23,0,0,0,0,0,0,0
2020-7-5,60025,398,4725,0,19,51,44,87,78,49,27,43,192,183,23,169,7,75,45,46,52,0,0
2020-7-5,60026,160,2658,0,0,12,17,20,23,13,19,52,51,100,9,73,0,29,16,24,13,0,0
2020-7-5,60029,8,92,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-7-5,60030,207,3417,0,23,48,27,29,33,29,9,9,98,102,7,91,12,22,11,8,61,0,0
2020-7-5,60031,372,4259,0,35,74,62,50,68,37,18,28,164,204,0,117,47,42,23,26,113,0,0
2020-7-5,60033,233,1472,0,35,39,43,53,36,15,7,0,109,124,0,33,0,6,0,0,189,0,0
2020-7-5,60035,291,4195,0,15,49,47,44,44,26,28,38,146,143,0,144,14,37,21,8,64,0,0
2020-7-5,60040,180,932,0,11,12,26,29,28,17,22,35,79,95,6,64,0,16,0,0,93,0,0
2020-7-5,60041,54,819,0,0,11,10,8,11,7,0,0,25,29,0,24,0,8,0,0,17,0,0
2020-7-5,60042,48,609,0,0,12,8,10,8,0,0,0,22,26,0,15,0,0,0,0,25,0,0
2020-7-5,60043,19,280,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-5,60044,112,1357,0,6,9,13,6,12,9,15,42,45,67,0,60,10,9,7,15,11,0,0
2020-7-5,60045,134,2366,0,7,24,9,22,30,22,8,12,71,62,0,97,0,18,7,6,0,0,0
2020-7-5,60046,227,2835,0,23,34,35,29,49,28,8,21,114,112,0,97,14,31,11,9,64,0,0
2020-7-5,60047,469,4728,0,25,30,29,50,56,57,73,149,204,264,0,300,0,108,7,8,43,0,0
2020-7-5,60048,174,2609,0,9,17,13,25,15,21,21,53,78,94,0,123,8,23,7,0,9,0,0
2020-7-5,60050,241,2812,0,12,23,27,46,41,37,29,26,121,119,0,130,0,12,0,10,83,0,0
2020-7-5,60051,134,1917,0,8,23,14,26,30,21,8,0,64,69,0,85,0,0,0,0,36,0,0
2020-7-5,60053,328,2922,0,11,33,55,44,56,69,30,30,164,164,0,88,15,80,38,73,25,0,0
2020-7-5,60056,670,5907,0,39,107,136,152,123,66,25,22,332,330,8,133,15,197,41,54,223,0,0
2020-7-5,60060,467,3354,0,47,98,60,88,102,58,6,8,235,229,0,85,8,61,31,20,260,0,0
2020-7-5,60061,183,2537,0,11,36,29,31,31,19,8,18,89,94,0,70,0,22,9,19,56,0,0
2020-7-5,60062,356,5963,0,14,36,27,43,60,57,42,77,162,186,8,176,6,85,33,30,23,0,0
2020-7-5,60064,670,2281,0,109,182,91,94,86,69,24,15,382,279,9,126,137,59,20,21,304,0,0
2020-7-5,60067,259,5103,0,24,40,39,35,41,29,22,29,101,151,7,105,9,82,13,9,36,0,0
2020-7-5,60068,345,4282,0,15,48,36,33,50,47,25,91,146,190,9,203,0,78,18,21,20,0,0
2020-7-5,60069,96,1939,0,0,12,8,0,14,10,15,31,40,56,0,63,0,19,0,0,0,0,0
2020-7-5,60070,275,2090,0,23,37,55,65,45,21,12,17,138,133,0,40,0,61,12,7,150,0,0
2020-7-5,60071,16,262,0,0,0,0,0,0,0,0,0,8,8,0,13,0,0,0,0,0,0,0
2020-7-5,60073,1132,7528,0,135,222,216,251,183,76,34,14,534,585,13,128,35,128,39,25,774,0,0
2020-7-5,60074,488,3952,0,41,83,113,97,81,50,12,11,229,253,6,64,15,147,12,16,233,0,0
2020-7-5,60076,546,5192,0,38,80,82,78,104,77,32,55,237,304,0,123,47,96,126,90,60,0,0
2020-7-5,60077,436,3910,0,22,59,89,73,75,65,34,19,203,230,0,98,29,76,75,77,68,11,0
2020-7-5,60079,12,96,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2020-7-5,60081,44,639,0,0,13,0,10,0,8,0,0,20,24,0,31,0,0,0,0,9,0,0
2020-7-5,60083,105,1099,0,0,16,24,21,13,19,7,0,53,52,0,22,21,9,7,16,30,0,0
2020-7-5,60084,194,1457,0,15,33,30,37,21,10,25,23,80,113,0,63,0,39,0,0,84,0,0
2020-7-5,60085,2484,11583,0,259,463,426,497,466,267,74,32,1153,1285,46,184,190,282,55,11,1755,0,0
2020-7-5,60087,697,4299,0,81,125,101,139,124,70,30,27,320,366,11,77,58,94,26,13,427,0,0
2020-7-5,60088,165,617,0,38,80,31,7,0,0,0,0,109,56,0,82,42,12,0,6,21,0,0
2020-7-5,60089,335,4018,0,11,34,35,56,51,45,36,67,145,189,0,158,0,66,13,24,71,0,0
2020-7-5,60090,839,5024,0,50,130,129,150,132,97,48,103,415,411,13,130,10,230,37,31,396,0,0
2020-7-5,60091,178,2582,0,19,23,16,27,32,21,17,23,86,92,0,120,0,27,12,6,8,0,0
2020-7-5,60093,189,2244,0,29,36,24,33,40,11,9,7,101,84,0,102,0,24,10,7,44,0,0
2020-7-5,60096,41,525,0,0,7,7,8,8,0,0,0,19,22,0,24,0,0,0,0,7,0,0
2020-7-5,60097,45,801,0,0,10,0,0,10,11,0,0,21,24,0,35,0,0,0,0,7,0,0
2020-7-5,60098,362,3866,0,35,51,36,44,65,64,33,34,177,183,0,174,12,17,0,9,147,0,0
2020-7-5,60099,597,4156,0,88,116,96,125,82,43,32,15,260,330,7,65,139,57,18,10,308,0,0
2020-7-5,60101,838,4902,0,66,159,158,189,135,89,28,14,447,388,0,107,18,148,28,15,520,0,0
2020-7-5,60102,190,2478,0,21,33,30,31,42,19,7,7,92,98,0,90,7,25,0,15,48,0,0
2020-7-5,60103,317,3988,0,12,55,49,61,72,43,13,12,138,174,0,94,7,119,8,32,55,0,0
2020-7-5,60104,450,3107,0,31,82,55,83,93,51,42,13,223,221,6,25,218,84,16,0,101,0,0
