date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-31,60002,149,2421,0,16,26,27,28,24,20,6,0,77,72,0,69,8,32,0,0,32,0,0
2020-7-31,60004,436,11267,0,40,80,61,63,69,41,29,52,200,211,25,140,7,177,19,19,73,0,0
2020-7-31,60005,280,5900,0,26,48,45,46,39,28,20,28,128,152,0,92,13,99,12,10,53,0,0
2020-7-31,60007,409,5021,0,19,43,48,53,57,53,53,83,188,218,0,139,0,175,16,12,59,0,0
2020-7-31,60008,424,5386,0,39,57,72,86,82,52,24,12,219,202,0,88,7,153,15,7,154,0,0
2020-7-31,60010,289,6167,0,44,52,29,27,52,36,20,29,152,136,0,131,0,120,12,13,11,0,0
2020-7-31,60012,111,1293,0,0,13,6,8,15,8,13,43,51,59,0,80,0,15,0,0,9,0,0
2020-7-31,60013,193,2728,0,21,38,30,26,39,30,6,0,89,104,0,108,0,27,0,0,52,0,0
2020-7-31,60014,464,5955,0,62,79,73,77,59,48,28,38,199,263,0,263,12,41,0,12,131,0,0
2020-7-31,60015,232,4590,0,25,27,19,28,34,23,31,45,91,141,0,158,7,30,15,11,9,0,0
2020-7-31,60016,1257,11293,0,73,210,187,190,228,201,79,89,603,628,26,287,57,340,127,198,234,6,8
2020-7-31,60018,744,6678,0,46,133,111,135,117,79,42,81,351,378,15,136,16,256,30,30,272,0,0
2020-7-31,60020,68,1511,0,7,11,15,13,12,9,0,0,29,38,0,29,0,21,0,0,10,0,0
2020-7-31,60021,33,544,0,0,9,0,0,11,0,0,0,12,21,0,27,0,0,0,0,0,0,0
2020-7-31,60022,47,1319,0,10,11,0,0,13,0,0,0,25,22,0,33,0,6,0,0,0,0,0
2020-7-31,60025,503,7242,0,60,76,50,99,88,56,29,45,239,240,24,230,7,98,60,51,53,0,0
2020-7-31,60026,208,4369,0,22,20,18,23,28,16,24,57,77,119,12,96,0,46,23,26,12,0,0
2020-7-31,60029,12,139,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-31,60030,291,5417,0,33,78,42,36,42,36,15,9,138,146,7,126,19,40,18,10,76,0,0
2020-7-31,60031,451,6741,0,48,98,71,59,77,48,22,28,197,250,0,155,58,56,25,24,129,0,0
2020-7-31,60033,284,2212,0,45,50,51,63,41,18,11,0,132,148,0,46,0,11,0,0,222,0,0
2020-7-31,60034,6,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-7-31,60035,329,7001,0,23,55,50,46,53,29,28,45,164,164,0,161,17,49,23,11,65,0,0
2020-7-31,60040,185,1251,0,14,14,27,30,26,17,23,34,81,100,0,63,0,15,0,0,101,0,0
2020-7-31,60041,66,1233,0,0,15,12,10,11,9,0,0,32,34,0,32,0,9,0,0,19,0,0
2020-7-31,60042,67,980,0,6,17,10,12,11,7,0,0,34,33,0,21,0,12,0,0,31,0,0
