date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-25,60002,141,2197,0,16,23,25,27,24,18,6,0,74,67,0,64,8,31,0,0,30,0,0
2020-7-25,60004,436,10489,0,39,74,63,63,69,43,29,53,193,215,28,131,9,175,22,20,78,0,0
2020-7-25,60005,271,5434,0,23,47,43,45,38,27,20,28,124,147,0,83,13,99,12,10,53,0,0
2020-7-25,60007,394,4673,0,18,41,40,52,55,52,53,83,182,209,0,134,0,166,16,12,58,0,0
2020-7-25,60008,407,5082,0,36,52,71,83,80,51,23,11,210,194,0,73,6,152,15,7,154,0,0
2020-7-25,60010,262,5567,0,42,45,27,25,46,31,16,30,139,122,0,113,0,116,10,11,10,0,0
2020-7-25,60012,103,1207,0,0,11,0,7,15,0,13,43,47,55,0,75,0,13,0,0,8,0,0
2020-7-25,60013,176,2437,0,19,32,29,24,37,26,6,0,80,96,0,104,0,15,0,0,52,0,0
2020-7-25,60014,429,5514,0,54,71,69,70,58,44,25,38,184,243,0,242,12,35,0,12,124,0,0
2020-7-25,60015,223,4215,0,16,27,20,28,33,23,31,45,89,134,0,151,7,28,15,11,9,0,0
2020-7-25,60016,1230,10620,0,69,204,181,187,226,197,76,89,589,614,27,280,57,334,123,194,228,6,8
2020-7-25,60018,735,6329,0,45,130,111,133,115,78,43,80,347,373,15,135,16,251,30,30,269,0,0
2020-7-25,60020,62,1381,0,0,10,14,12,12,9,0,0,26,35,0,26,0,19,0,0,9,0,0
2020-7-25,60021,33,502,0,0,9,0,0,11,0,0,0,12,21,0,27,0,0,0,0,0,0,0
2020-7-25,60022,45,1208,0,9,11,0,0,12,0,0,0,25,20,0,31,0,6,0,0,0,0,0
2020-7-25,60025,490,6696,0,59,69,48,97,88,55,29,45,235,232,23,226,7,95,55,50,53,0,0
2020-7-25,60026,206,4167,0,22,20,18,22,28,16,23,57,76,118,12,96,0,44,23,26,12,0,0
2020-7-25,60029,12,130,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-25,60030,265,4981,0,26,69,38,33,40,36,14,9,125,134,6,121,16,32,13,10,71,0,0
2020-7-25,60031,433,6245,0,45,94,69,55,75,46,22,27,189,240,0,145,55,53,24,24,128,0,0
2020-7-25,60033,271,2014,0,43,47,49,60,41,17,9,0,127,140,0,43,0,11,0,0,212,0,0
2020-7-25,60035,322,6442,0,23,54,49,46,52,26,28,44,160,161,0,155,17,48,23,11,65,0,0
2020-7-25,60040,184,1170,0,13,14,27,30,26,17,23,34,81,99,0,63,0,15,0,0,100,0,0
2020-7-25,60041,65,1146,0,0,14,12,10,11,9,0,0,30,35,0,32,0,9,0,0,18,0,0
2020-7-25,60042,64,890,0,6,16,10,12,10,6,0,0,32,32,0,20,0,11,0,0,30,0,0
2020-7-25,60043,20,374,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-7-25,60044,124,2009,0,9,11,14,10,12,10,15,43,50,74,0,64,11,12,7,15,15,0,0
2020-7-25,60045,143,3438,0,8,29,10,22,31,22,10,11,74,68,0,102,0,21,6,7,0,0,0
2020-7-25,60046,287,4054,0,37,49,40,40,58,32,10,21,145,141,0,127,15,43,16,12,72,0,0
2020-7-25,60047,597,8054,0,99,41,34,52,74,62,78,157,270,324,0,355,0,163,14,11,49,0,0
2020-7-25,60048,214,3925,0,24,19,18,30,17,23,25,58,97,115,0,150,8,26,9,0,17,0,0
2020-7-25,60050,277,3982,0,19,30,32,53,48,40,30,25,139,138,0,155,6,14,0,10,90,0,0
2020-7-25,60051,164,2650,0,8,32,17,30,36,28,8,0,77,86,0,108,0,10,0,0,37,0,0
2020-7-25,60053,350,4399,0,11,36,60,47,61,71,31,33,176,174,0,95,14,90,41,73,28,0,0
2020-7-25,60056,727,7946,0,47,119,144,162,131,71,30,23,356,363,8,150,17,222,47,56,229,0,0
2020-7-25,60060,517,4641,0,58,107,68,101,108,60,7,8,258,256,0,105,8,72,33,21,276,0,0
2020-7-25,60061,229,3452,0,18,48,32,39,44,20,9,19,114,115,0,88,8,33,12,22,63,0,0
2020-7-25,60062,391,9095,0,18,50,31,46,62,62,42,80,181,203,7,194,6,99,36,30,23,0,0
2020-7-25,60064,700,2878,0,111,186,100,101,90,72,25,15,397,294,9,127,144,61,26,21,317,0,0
