date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-28,60002,145,2324,0,16,25,25,27,24,19,7,0,76,69,0,68,8,31,0,0,30,0,0
2020-7-28,60004,426,10754,0,41,73,60,61,65,41,30,52,191,208,27,130,7,175,20,19,74,0,0
2020-7-28,60005,272,5560,0,23,48,43,45,37,27,21,28,124,148,0,85,13,98,12,10,53,0,0
2020-7-28,60007,401,4792,0,19,41,44,53,56,52,53,83,185,213,0,137,0,169,16,12,59,0,0
2020-7-28,60008,414,5182,0,39,52,72,84,80,52,23,12,213,198,0,77,6,155,15,7,154,0,0
2020-7-28,60010,268,5784,0,42,46,28,25,48,32,17,30,141,126,0,116,0,119,10,11,10,0,0
2020-7-28,60012,108,1247,0,0,13,0,7,15,7,13,43,49,58,0,78,0,15,0,0,8,0,0
2020-7-28,60013,184,2564,0,20,37,29,24,38,27,6,0,86,98,0,106,0,20,0,0,52,0,0
2020-7-28,60014,439,5687,0,54,72,71,73,59,47,25,38,188,249,0,248,12,39,0,12,124,0,0
2020-7-28,60015,224,4389,0,17,27,20,28,33,23,31,45,89,135,0,151,7,29,15,11,9,0,0
2020-7-28,60016,1236,10893,0,70,205,181,188,226,199,77,89,592,617,27,280,57,335,124,196,230,6,8
2020-7-28,60018,739,6508,0,45,133,111,133,115,79,42,81,347,377,15,135,16,253,30,30,271,0,0
2020-7-28,60020,67,1441,0,7,10,15,13,12,9,0,0,29,37,0,29,0,20,0,0,10,0,0
2020-7-28,60021,33,517,0,0,9,0,0,11,0,0,0,12,21,0,27,0,0,0,0,0,0,0
2020-7-28,60022,45,1263,0,9,11,0,0,12,0,0,0,25,20,0,31,0,6,0,0,0,0,0
2020-7-28,60025,496,6952,0,59,73,48,99,88,55,29,45,237,236,23,228,7,96,58,50,53,0,0
2020-7-28,60026,207,4253,0,22,20,18,23,28,16,23,57,77,118,12,96,0,45,23,26,12,0,0
2020-7-28,60029,12,133,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-28,60030,272,5191,0,30,69,39,34,40,36,15,9,130,136,6,122,17,35,13,10,73,0,0
2020-7-28,60031,443,6496,0,48,97,70,55,77,47,22,27,193,246,0,151,57,55,24,24,128,0,0
2020-7-28,60033,276,2089,0,44,48,50,60,41,18,10,0,127,145,0,44,0,12,0,0,215,0,0
2020-7-28,60035,324,6665,0,23,54,49,46,52,27,28,45,161,162,0,157,17,48,23,11,65,0,0
2020-7-28,60040,184,1202,0,13,14,27,30,26,17,23,34,81,99,0,63,0,15,0,0,100,0,0
2020-7-28,60041,64,1182,0,0,14,12,10,11,8,0,0,30,34,0,31,0,9,0,0,18,0,0
2020-7-28,60042,65,929,0,6,16,10,12,11,6,0,0,32,33,0,20,0,12,0,0,30,0,0
2020-7-28,60043,20,385,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-7-28,60044,126,2082,0,9,11,14,10,12,12,15,43,52,74,0,65,11,13,7,15,15,0,0
2020-7-28,60045,147,3558,0,9,30,10,22,33,22,10,11,76,70,0,103,0,21,6,8,6,0,0
2020-7-28,60046,301,4287,0,39,56,40,40,61,33,11,21,150,150,0,133,15,47,16,13,75,0,0
2020-7-28,60047,608,8352,0,98,43,35,54,79,64,78,157,276,329,0,361,0,168,14,11,49,0,0
2020-7-28,60048,221,4124,0,25,22,19,30,19,23,25,58,101,118,0,155,8,28,9,0,17,0,0
2020-7-28,60050,286,4111,0,21,31,35,54,50,40,30,25,145,141,0,158,6,18,0,10,92,0,0
2020-7-28,60051,168,2740,0,8,34,18,31,36,28,8,0,80,86,0,112,0,10,0,0,36,0,0
2020-7-28,60053,353,4544,0,11,37,60,48,61,72,31,33,176,177,0,97,14,89,42,74,28,0,0
2020-7-28,60056,735,8188,0,47,123,144,163,133,72,30,23,359,368,8,153,17,226,47,56,230,0,0
2020-7-28,60060,535,5056,0,60,115,68,105,110,61,7,9,267,265,0,112,10,78,33,21,279,0,0
2020-7-28,60061,235,3686,0,19,50,32,39,46,21,9,19,116,119,0,90,8,36,12,22,64,0,0
2020-7-28,60062,398,9399,0,21,50,32,47,62,63,42,81,184,206,8,197,6,101,37,30,24,0,0
2020-7-28,60064,703,2957,0,111,186,101,103,90,72,25,15,399,295,9,127,144,62,26,21,320,0,0
2020-7-28,60067,318,7359,0,38,58,46,39,46,36,22,33,128,182,8,128,9,111,15,10,40,0,0
2020-7-28,60068,386,6481,0,20,67,39,41,53,49,26,91,168,209,9,224,0,91,23,21,22,0,0
2020-7-28,60069,117,3322,0,0,16,12,8,17,12,19,32,49,68,0,71,0,25,6,0,8,0,0
2020-7-28,60070,292,3109,0,27,41,55,68,47,24,12,18,146,142,0,46,0,66,12,8,155,0,0
2020-7-28,60071,22,400,0,0,0,0,0,0,0,0,0,11,11,0,17,0,0,0,0,0,0,0
2020-7-28,60073,1265,10232,0,158,261,243,269,197,86,34,16,595,657,13,172,46,143,49,27,823,0,0
2020-7-28,60074,561,5277,0,56,106,125,106,91,51,13,13,257,297,7,76,17,181,17,15,254,0,0
2020-7-28,60076,619,6979,0,45,92,94,89,114,89,39,57,275,340,0,147,49,104,149,97,68,0,0
2020-7-28,60077,464,5365,0,25,64,96,77,79,68,34,21,219,242,0,108,30,78,85,76,73,12,0
2020-7-28,60079,14,148,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0
2020-7-28,60081,64,925,0,6,23,6,11,6,8,0,0,27,36,0,42,0,9,0,0,9,0,0
2020-7-28,60083,127,1584,0,6,19,26,30,14,22,7,0,68,58,0,30,22,16,9,17,33,0,0
2020-7-28,60084,205,2085,0,17,35,29,41,22,12,26,23,85,120,0,71,0,40,0,0,86,0,0
2020-7-28,60085,2718,15662,0,302,517,472,532,495,280,84,35,1273,1400,45,217,211,300,67,11,1905,0,0
2020-7-28,60087,814,5746,0,106,164,117,155,134,77,32,29,366,439,9,98,66,97,33,15,502,0,0
2020-7-28,60088,352,944,0,116,175,43,8,0,0,0,0,251,100,0,168,74,35,9,18,46,0,0
2020-7-28,60089,372,5923,0,14,50,45,56,58,45,37,67,165,206,0,176,0,79,17,26,71,0,0
2020-7-28,60090,905,6866,0,61,147,144,156,142,104,46,105,442,450,13,146,10,255,42,32,415,0,0
2020-7-28,60091,200,4002,0,23,29,17,30,37,23,17,24,94,106,0,136,0,32,13,7,8,0,0
2020-7-28,60093,209,3303,0,33,42,25,34,44,13,9,9,114,91,0,114,0,29,11,7,45,0,0
2020-7-28,60096,65,814,0,7,11,13,12,9,8,0,0,36,29,0,34,0,11,0,0,12,0,0
2020-7-28,60097,60,1200,0,0,13,6,8,13,13,0,0,30,30,0,45,0,0,0,0,9,0,0
2020-7-28,60098,453,5640,0,46,62,52,54,78,71,42,48,216,234,0,228,15,35,0,12,160,0,0
2020-7-28,60099,678,5643,0,103,142,107,138,93,47,32,16,294,378,6,81,154,68,24,10,341,0,0
2020-7-28,60101,899,6394,0,73,170,167,194,150,98,32,15,474,422,0,124,19,161,37,17,539,0,0
2020-7-28,60102,260,3581,0,36,47,43,40,54,24,10,6,127,132,0,124,8,48,0,22,53,0,0
2020-7-28,60103,377,5821,0,20,76,57,64,83,49,15,13,167,205,0,115,8,146,8,34,62,0,0
2020-7-28,60104,497,4051,0,38,85,66,88,99,62,45,14,242,249,6,25,246,95,18,0,107,0,0
2020-7-28,60106,590,5118,0,41,115,127,108,93,54,27,25,328,260,0,84,17,120,12,15,342,0,0
2020-7-28,60107,747,6814,0,55,152,135,147,139,75,36,7,374,357,16,71,15,312,21,43,270,11,0
2020-7-28,60108,410,5653,0,17,46,41,48,51,71,62,74,185,203,22,160,17,131,8,34,54,0,0
2020-7-28,60109,13,369,0,0,0,0,0,0,0,0,0,0,6,6,0,0,10,0,0,0,0,0
2020-7-28,60110,829,4908,0,104,162,140,201,132,67,17,6,408,408,13,70,22,272,8,8,449,0,0
2020-7-28,60112,41,519,0,0,8,7,8,8,0,0,0,16,25,0,10,0,6,0,0,21,0,0
2020-7-28,60115,374,5663,0,38,101,65,44,37,22,28,39,159,214,0,134,61,26,0,6,143,0,0
2020-7-28,60118,110,1876,0,9,27,22,14,15,9,8,6,51,58,0,48,0,34,0,0,19,0,0
2020-7-28,60119,61,1165,0,0,16,12,10,12,0,0,0,31,30,0,36,0,13,0,0,11,0,0
2020-7-28,60120,1519,8398,0,142,332,260,308,247,119,54,57,709,790,20,136,38,430,16,20,862,16,0
2020-7-28,60123,1033,8594,0,104,198,186,194,155,99,45,52,456,559,18,139,44,284,20,18,526,0,0
2020-7-28,60124,194,2847,0,24,29,33,32,32,18,12,14,95,97,0,63,0,69,7,17,32,0,0
2020-7-28,60126,506,8613,0,94,70,48,69,77,57,36,55,269,233,0,235,24,129,26,23,65,0,0
2020-7-28,60130,194,5004,0,0,31,35,39,28,28,21,9,88,101,0,39,74,38,15,0,25,0,0
2020-7-28,60131,411,3189,0,46,61,81,89,70,44,8,12,198,209,0,85,0,89,16,10,203,0,0
2020-7-28,60133,839,6637,0,81,179,147,167,160,75,21,9,406,412,21,81,32,269,24,39,383,10,0
2020-7-28,60134,245,3659,0,31,32,19,26,32,24,27,54,105,134,6,127,0,81,0,0,29,0,0
2020-7-28,60135,72,846,0,8,18,13,7,16,6,0,0,43,29,0,39,0,10,0,0,23,0,0
2020-7-28,60136,91,932,0,6,15,14,19,23,8,0,0,37,53,0,29,0,22,0,17,19,0,0
2020-7-28,60137,268,5598,0,46,51,41,37,39,33,11,10,136,131,0,106,13,89,0,11,42,0,0
2020-7-28,60139,737,5800,0,79,139,132,146,112,81,41,7,365,370,0,89,26,158,28,90,345,0,0
2020-7-28,60140,135,2054,0,7,29,35,31,17,10,0,0,67,68,0,48,7,51,0,0,26,0,0
2020-7-28,60141,25,1138,0,0,0,0,0,0,0,0,0,17,8,0,6,6,8,0,0,0,0,0
2020-7-28,60142,175,3496,0,18,29,21,33,32,20,18,0,81,94,0,109,0,23,0,10,29,0,0
2020-7-28,60143,217,2003,0,9,23,26,26,32,43,28,30,104,113,0,85,0,68,0,13,40,0,0
2020-7-28,60145,12,214,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0
2020-7-28,60146,15,290,0,0,0,0,0,0,0,0,0,8,7,0,9,0,0,0,0,0,0,0
2020-7-28,60148,514,7818,0,39,109,82,64,85,50,25,60,230,271,13,186,43,134,18,25,103,0,0
2020-7-28,60150,6,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-7-28,60151,24,401,0,6,0,0,6,0,0,0,0,13,10,0,13,0,9,0,0,0,0,0
2020-7-28,60152,91,1409,0,0,9,18,17,12,8,8,15,43,48,0,55,0,0,0,0,31,0,0
2020-7-28,60153,601,4594,0,58,110,112,120,98,50,38,14,274,315,12,34,266,108,26,0,166,0,0
2020-7-28,60154,244,3474,0,22,32,33,41,34,36,31,15,108,134,0,41,70,52,21,11,48,0,0
2020-7-28,60155,202,1425,0,20,24,28,42,38,28,13,9,88,109,0,10,114,40,10,7,17,0,0
2020-7-28,60156,220,3051,0,22,58,28,35,47,18,8,0,112,108,0,106,10,32,0,12,57,0,0
2020-7-28,60157,17,298,0,0,0,0,7,0,0,0,0,10,7,0,7,0,6,0,0,0,0,0
