date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-11,60002,123,1784,0,13,19,24,25,21,16,0,0,65,58,0,55,8,25,0,0,28,0,0
2020-7-11,60004,393,8846,0,34,62,56,57,61,42,27,50,170,195,28,121,9,153,21,17,71,0,0
2020-7-11,60005,242,4374,0,16,38,39,41,35,26,19,28,109,133,0,66,13,89,10,10,53,0,0
2020-7-11,60007,381,3904,0,17,38,36,49,52,52,54,83,175,203,0,124,0,163,15,12,59,0,0
2020-7-11,60008,368,4358,0,29,41,69,80,70,50,20,9,196,169,0,62,0,131,12,6,152,0,0
2020-7-11,60010,201,3993,0,24,32,26,14,38,25,16,26,106,94,0,94,0,81,7,8,9,0,0
2020-7-11,60012,94,930,0,0,7,0,6,15,0,12,43,42,51,0,69,0,11,0,0,8,0,0
2020-7-11,60013,135,1810,0,14,24,22,18,29,21,0,0,59,76,0,75,0,10,0,0,46,0,0
2020-7-11,60014,349,4280,0,35,43,61,56,52,41,25,36,146,201,0,209,11,10,0,11,105,0,0
2020-7-11,60015,211,3210,0,13,23,18,28,33,21,31,44,85,124,0,143,6,25,15,11,10,0,0
2020-7-11,60016,1169,8864,0,63,192,169,178,217,188,74,87,563,579,27,262,55,321,113,187,216,7,8
2020-7-11,60018,706,5243,0,42,123,106,127,112,75,40,81,333,356,17,124,13,248,27,28,262,0,0
2020-7-11,60020,48,1105,0,0,0,11,11,9,8,0,0,20,27,0,19,0,15,0,0,8,0,0
2020-7-11,60021,25,377,0,0,8,0,0,8,0,0,0,8,17,0,19,0,0,0,0,0,0,0
2020-7-11,60022,36,878,0,6,9,0,0,10,0,0,0,20,16,0,26,0,0,0,0,0,0,0
2020-7-11,60025,435,5128,0,40,57,45,88,81,51,29,44,206,205,24,196,7,80,47,47,54,0,0
2020-7-11,60026,173,2986,0,8,14,17,20,25,13,22,54,57,101,15,77,0,37,18,24,12,0,0
2020-7-11,60029,9,97,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2020-7-11,60030,225,3853,0,25,55,27,30,36,29,13,10,108,110,7,105,13,24,12,8,61,0,0
2020-7-11,60031,386,4876,0,37,78,63,52,69,40,18,29,171,211,0,126,49,44,22,26,115,0,0
2020-7-11,60033,237,1594,0,36,38,44,54,36,16,8,0,112,125,0,37,0,0,0,0,190,0,0
2020-7-11,60035,298,4806,0,16,51,48,45,46,26,27,39,149,147,0,145,16,41,21,8,64,0,0
2020-7-11,60040,182,997,0,12,12,26,29,28,17,23,35,80,96,6,65,0,15,0,0,95,0,0
2020-7-11,60041,55,912,0,0,11,10,8,11,7,0,0,26,29,0,25,0,8,0,0,17,0,0
2020-7-11,60042,54,684,0,0,14,9,11,9,0,0,0,25,29,0,19,0,6,0,0,26,0,0
2020-7-11,60043,19,305,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-11,60044,114,1537,0,6,9,13,7,12,10,15,42,47,67,0,62,10,9,7,15,11,0,0
2020-7-11,60045,138,2715,0,7,26,9,22,31,22,9,12,74,63,0,99,0,20,7,6,0,0,0
2020-7-11,60046,241,3134,0,29,35,36,32,50,30,8,21,121,119,0,107,14,31,11,10,66,0,0
2020-7-11,60047,516,5530,0,56,32,32,50,62,59,74,151,229,285,0,319,0,133,8,9,44,0,0
2020-7-11,60048,186,2938,0,10,17,13,30,15,21,23,57,83,100,0,134,8,20,7,0,13,0,0
2020-7-11,60050,248,3105,0,15,25,27,47,42,38,29,25,127,121,0,137,0,12,0,10,83,0,0
2020-7-11,60051,144,2079,0,8,25,15,26,34,23,8,0,68,75,0,93,0,7,0,0,36,0,0
2020-7-11,60053,335,3362,0,11,35,56,46,56,70,30,31,167,168,0,91,15,81,40,73,26,0,0
2020-7-11,60056,684,6462,0,41,109,140,156,124,65,27,22,338,338,8,135,15,204,43,55,225,0,0
2020-7-11,60060,485,3656,0,49,103,64,92,104,59,6,8,244,238,0,95,7,62,33,20,266,0,0
2020-7-11,60061,196,2752,0,13,40,29,34,33,20,9,18,96,100,0,73,7,24,11,19,60,0,0
