date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-16,60002,130,1925,0,14,20,24,26,22,18,0,0,68,62,0,58,8,28,0,0,29,0,0
2020-7-16,60004,406,9441,0,36,65,58,61,64,41,27,50,178,200,28,122,9,160,21,18,75,0,0
2020-7-16,60005,255,4771,0,20,42,41,42,35,26,20,29,116,139,0,70,13,97,11,10,53,0,0
2020-7-16,60007,383,4191,0,18,40,37,49,51,52,54,82,178,202,0,124,0,166,15,12,58,0,0
2020-7-16,60008,380,4672,0,32,45,69,80,73,50,21,10,199,178,0,67,0,138,12,6,152,0,0
2020-7-16,60010,232,4565,0,34,42,26,18,40,29,16,27,124,107,0,104,0,100,9,8,9,0,0
2020-7-16,60012,97,1030,0,0,8,0,6,15,0,13,43,44,52,0,71,0,11,0,0,8,0,0
2020-7-16,60013,154,2028,0,15,29,25,21,31,25,0,0,69,85,0,90,0,12,0,0,48,0,0
2020-7-16,60014,371,4697,0,41,47,63,62,53,42,25,38,158,211,0,218,11,17,0,11,110,0,0
2020-7-16,60015,213,3550,0,13,23,18,28,32,23,31,45,86,125,0,145,6,26,15,11,9,0,0
2020-7-16,60016,1191,9508,0,63,198,174,181,221,191,75,87,573,591,27,270,57,325,116,190,218,7,8
2020-7-16,60018,714,5607,0,42,124,107,131,112,76,41,81,338,361,15,128,13,251,26,29,263,0,0
2020-7-16,60020,50,1187,0,0,0,11,11,10,8,0,0,21,28,0,20,0,15,0,0,8,0,0
2020-7-16,60021,31,424,0,0,8,0,0,11,0,0,0,11,20,0,23,0,0,0,0,0,0,0
2020-7-16,60022,39,970,0,7,9,0,0,11,0,0,0,22,17,0,28,0,0,0,0,0,0,0
2020-7-16,60025,459,5749,0,53,61,45,92,85,50,29,44,223,213,23,210,7,88,50,47,53,0,0
2020-7-16,60026,189,3519,0,20,16,18,20,27,14,20,54,67,110,12,87,0,37,22,26,12,0,0
2020-7-16,60029,12,120,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-16,60030,233,4202,0,25,58,31,31,36,29,13,10,111,115,7,109,13,26,12,8,63,0,0
2020-7-16,60031,396,5375,0,41,82,65,51,69,40,19,29,173,219,0,133,50,43,23,26,117,0,0
2020-7-16,60033,246,1737,0,36,42,46,54,38,16,9,0,114,130,0,38,0,7,0,0,196,0,0
2020-7-16,60035,307,5439,0,19,52,48,46,46,26,28,42,151,155,0,147,17,45,22,9,64,0,0
2020-7-16,60040,185,1047,0,13,13,28,29,27,17,23,35,82,98,0,65,0,15,0,0,98,0,0
2020-7-16,60041,58,989,0,0,12,10,10,11,7,0,0,27,31,0,27,0,8,0,0,17,0,0
2020-7-16,60042,59,741,0,6,14,10,11,9,0,0,0,28,31,0,19,0,7,0,0,30,0,0
2020-7-16,60043,19,321,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-16,60044,117,1698,0,7,10,13,7,12,10,15,43,48,69,0,64,10,10,7,15,11,0,0
2020-7-16,60045,139,2995,0,7,26,10,22,31,22,9,12,74,64,0,101,0,18,7,7,0,0,0
2020-7-16,60046,254,3464,0,29,41,36,35,53,31,8,21,128,125,0,112,14,35,14,10,67,0,0
2020-7-16,60047,554,6548,0,84,35,32,50,63,61,74,155,251,300,0,325,0,161,10,9,46,0,0
2020-7-16,60048,193,3280,0,17,18,14,28,15,21,23,57,87,103,0,135,8,23,8,0,15,0,0
2020-7-16,60050,255,3352,0,15,28,28,47,43,39,30,25,127,128,0,144,0,11,0,10,84,0,0
2020-7-16,60051,148,2256,0,8,26,16,27,35,23,8,0,71,76,0,96,0,7,0,0,37,0,0
2020-7-16,60053,339,3853,0,11,35,57,46,58,69,30,33,170,169,0,93,15,83,41,71,27,0,0
2020-7-16,60056,696,6989,0,42,111,142,158,127,67,27,22,343,345,8,138,15,209,43,57,227,0,0
2020-7-16,60060,491,4025,0,50,104,64,95,104,59,7,8,248,240,0,99,7,63,32,20,268,0,0
2020-7-16,60061,202,2973,0,14,40,29,37,35,20,9,18,99,103,0,77,7,25,12,19,60,0,0
2020-7-16,60062,372,7664,0,17,40,29,44,61,59,42,80,171,193,8,185,6,92,33,30,23,0,0
2020-7-16,60064,684,2592,0,110,184,94,98,89,70,24,15,389,286,9,127,140,58,24,21,311,0,0
2020-7-16,60067,291,6253,0,32,52,42,37,43,32,22,31,115,168,8,115,9,102,14,9,37,0,0
2020-7-16,60068,369,5382,0,18,60,37,38,52,48,25,91,160,200,9,215,0,86,22,21,20,0,0
2020-7-16,60069,105,2746,0,0,16,9,7,15,9,18,30,43,62,0,63,0,23,6,0,6,0,0
2020-7-16,60070,286,2690,0,25,39,55,68,46,23,12,18,143,139,0,44,0,64,12,8,153,0,0
2020-7-16,60071,19,315,0,0,0,0,0,0,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-16,60073,1165,8603,0,140,233,221,256,186,79,34,15,548,604,13,143,37,127,43,25,787,0,0
2020-7-16,60074,516,4563,0,44,93,118,100,85,51,13,12,240,269,7,65,17,164,14,16,239,0,0
2020-7-16,60076,584,5961,0,41,85,88,82,113,84,34,57,256,324,0,133,49,100,143,92,63,0,0
2020-7-16,60077,445,4729,0,24,60,91,77,75,64,34,20,210,232,0,103,29,76,77,76,70,12,0
