date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-14,60002,126,1865,0,14,19,24,25,21,18,0,0,67,59,0,57,8,26,0,0,28,0,0
2020-7-14,60004,401,9189,0,36,65,57,59,62,41,27,50,176,197,28,122,9,157,21,17,74,0,0
2020-7-14,60005,253,4601,0,20,42,40,42,35,26,19,29,114,139,0,68,13,97,11,10,53,0,0
2020-7-14,60007,382,4051,0,17,39,37,49,52,52,54,82,177,202,0,125,0,164,15,12,58,0,0
2020-7-14,60008,373,4595,0,30,44,69,80,70,50,20,10,197,173,0,63,0,135,12,6,152,0,0
2020-7-14,60010,212,4326,0,28,34,26,16,39,26,16,27,114,97,0,98,0,88,7,8,9,0,0
2020-7-14,60012,95,984,0,0,8,0,6,15,0,12,43,42,52,0,69,0,11,0,0,8,0,0
2020-7-14,60013,144,1917,0,15,26,23,19,30,23,0,0,64,80,0,83,0,10,0,0,47,0,0
2020-7-14,60014,356,4493,0,37,44,62,58,52,42,25,36,151,203,0,211,11,13,0,11,107,0,0
2020-7-14,60015,212,3389,0,13,23,18,28,32,22,31,45,85,125,0,145,6,25,15,11,9,0,0
2020-7-14,60016,1180,9197,0,63,195,173,180,218,189,75,86,568,585,27,265,57,321,116,189,217,7,8
2020-7-14,60018,708,5401,0,42,123,106,129,112,75,40,81,336,357,15,126,13,247,26,29,263,0,0
2020-7-14,60020,49,1141,0,0,0,11,11,10,8,0,0,21,27,0,19,0,15,0,0,8,0,0
2020-7-14,60021,29,401,0,0,8,0,0,10,0,0,0,10,19,0,21,0,0,0,0,0,0,0
2020-7-14,60022,38,929,0,7,9,0,0,11,0,0,0,21,17,0,28,0,0,0,0,0,0,0
2020-7-14,60025,448,5461,0,49,58,45,92,81,51,29,43,216,209,23,207,7,80,50,47,53,0,0
2020-7-14,60026,187,3346,0,17,16,18,20,27,14,21,54,65,108,14,87,0,38,20,25,12,0,0
2020-7-14,60029,11,110,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-14,60030,226,4031,0,25,56,27,30,36,29,13,10,108,111,7,106,13,24,12,8,61,0,0
2020-7-14,60031,391,5163,0,40,80,64,51,69,40,18,29,172,215,0,132,49,43,22,26,115,0,0
2020-7-14,60033,241,1676,0,36,41,44,54,37,16,8,0,114,127,0,37,0,0,0,0,194,0,0
2020-7-14,60035,304,5158,0,19,51,48,46,46,26,27,41,150,152,0,146,16,44,22,9,64,0,0
2020-7-14,60040,183,1025,0,12,12,28,29,27,17,23,35,81,97,0,65,0,14,0,0,97,0,0
2020-7-14,60041,56,959,0,0,11,10,9,11,7,0,0,26,30,0,26,0,8,0,0,17,0,0
2020-7-14,60042,59,710,0,6,14,10,11,9,0,0,0,28,31,0,19,0,10,0,0,27,0,0
2020-7-14,60043,19,312,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-14,60044,115,1608,0,7,9,13,7,12,10,15,42,47,68,0,63,10,9,7,15,11,0,0
2020-7-14,60045,139,2893,0,7,26,10,22,31,22,9,12,74,64,0,101,0,18,7,7,0,0,0
