date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-8-8,60002,162,2712,0,19,28,31,30,25,21,6,0,83,79,0,77,8,35,0,0,32,0,0
2020-8-8,60004,448,12573,0,45,79,63,68,68,44,29,52,205,219,24,152,9,171,21,19,74,0,0
2020-8-8,60005,299,6589,0,27,52,49,49,42,31,21,28,136,162,0,102,13,101,14,11,57,0,0
2020-8-8,60007,427,5635,0,21,44,51,56,62,56,55,82,194,230,0,145,0,178,20,14,61,0,0
2020-8-8,60008,448,5925,0,42,63,78,89,84,55,24,13,231,214,0,99,7,160,15,7,160,0,0
2020-8-8,60010,333,7039,0,62,59,34,32,58,39,20,29,174,158,0,167,0,125,13,14,12,0,0
2020-8-8,60012,121,1452,0,8,17,7,8,16,8,14,43,53,67,0,88,0,16,0,0,9,0,0
2020-8-8,60013,216,3135,0,22,46,33,28,44,34,6,0,103,113,0,122,0,32,0,0,55,0,0
2020-8-8,60014,503,6793,0,66,88,77,81,63,54,34,40,222,279,0,287,14,48,0,12,137,0,0
2020-8-8,60015,269,5424,0,45,32,21,27,41,26,32,45,115,154,0,182,7,37,18,12,11,0,0
2020-8-8,60016,1301,12374,0,75,224,197,198,234,203,80,90,621,654,26,305,58,353,130,201,239,7,8
2020-8-8,60018,758,7178,0,46,139,113,136,119,80,43,82,357,386,15,139,16,260,30,30,278,0,0
2020-8-8,60020,77,1721,0,8,16,16,13,14,9,0,0,34,42,0,31,0,26,0,0,12,0,0
2020-8-8,60021,37,610,0,0,10,0,0,11,0,0,0,14,23,0,30,0,0,0,0,6,0,0
2020-8-8,60022,53,1572,0,10,16,0,0,14,0,0,0,27,25,0,38,0,7,0,0,0,0,0
2020-8-8,60025,526,8086,0,63,86,51,100,90,60,30,46,242,260,24,245,7,101,63,51,55,0,0
2020-8-8,60026,215,4933,0,22,24,19,21,29,17,25,58,76,126,13,102,6,46,23,26,12,0,0
2020-8-8,60029,12,153,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-8-8,60030,315,6154,0,34,80,46,38,51,39,16,11,155,153,7,140,18,44,21,10,78,0,0
2020-8-8,60031,493,7633,0,52,110,79,65,82,52,24,29,216,273,0,167,59,67,30,26,137,6,0
2020-8-8,60033,304,2433,0,48,60,54,65,41,20,11,0,141,159,0,53,0,11,0,0,235,0,0
2020-8-8,60034,6,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-8-8,60035,350,8087,0,26,56,56,49,56,30,30,47,178,171,0,168,18,58,24,11,67,0,0
2020-8-8,60040,186,1391,0,14,14,27,30,26,18,23,34,81,101,0,63,0,16,0,0,101,0,0
2020-8-8,60041,73,1410,0,6,17,14,11,11,9,0,0,35,38,0,36,0,9,0,0,21,0,0
2020-8-8,60042,71,1127,0,7,17,11,12,12,8,0,0,38,33,0,24,0,13,0,0,31,0,0
2020-8-8,60043,20,460,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-8-8,60044,131,2589,0,14,12,14,10,12,13,15,41,56,75,0,67,11,14,8,14,16,0,0
2020-8-8,60045,155,4130,0,9,35,11,22,34,22,11,11,80,74,0,107,0,25,6,8,6,0,0
2020-8-8,60046,356,5255,0,51,65,54,45,69,37,14,21,179,176,0,155,15,56,22,16,87,0,0
2020-8-8,60047,632,9848,0,103,46,43,55,82,68,78,157,286,342,0,380,0,174,13,10,49,0,0
2020-8-8,60048,234,4869,0,31,24,20,30,21,25,25,58,105,127,0,163,9,31,9,0,18,0,0
2020-8-8,60050,328,4893,0,24,40,45,62,52,45,34,26,167,161,0,180,6,28,0,10,100,0,0
2020-8-8,60051,187,3315,0,9,42,20,33,38,30,9,6,88,97,0,125,0,14,0,0,36,0,0
2020-8-8,60053,388,5398,0,17,44,63,54,64,75,34,37,191,197,0,110,15,101,42,81,29,0,6
2020-8-8,60056,785,9631,0,55,134,149,172,140,79,32,24,385,391,9,176,20,232,50,57,244,0,0
2020-8-8,60060,561,5934,0,64,119,74,112,113,62,8,9,280,278,0,119,10,84,34,22,290,0,0
2020-8-8,60061,253,4352,0,23,53,35,46,47,22,8,19,120,133,0,94,9,40,14,23,70,0,0
2020-8-8,60062,435,11011,0,27,56,38,52,67,66,45,84,206,221,8,222,7,109,39,31,24,0,0
2020-8-8,60064,725,3383,0,113,193,106,107,92,73,26,15,412,303,10,130,146,65,26,22,333,0,0
2020-8-8,60067,369,9046,0,58,65,49,44,58,41,22,32,153,208,8,163,10,119,16,12,44,0,0
2020-8-8,60068,414,7466,0,21,76,44,48,57,50,26,92,183,222,9,239,0,99,26,21,23,0,0
2020-8-8,60069,119,3663,0,0,17,13,8,16,12,19,33,51,68,0,75,0,24,0,0,9,0,0
2020-8-8,60070,307,3573,0,28,44,58,72,47,26,13,19,152,151,0,52,0,67,14,9,160,0,0
2020-8-8,60071,24,513,0,0,0,0,0,0,0,0,0,13,11,0,18,0,0,0,0,0,0,0
2020-8-8,60073,1416,12322,0,190,287,265,299,212,94,43,25,665,738,13,213,49,159,58,29,906,0,0
2020-8-8,60074,603,6198,0,71,116,129,109,96,55,14,13,280,316,7,89,18,181,18,17,279,0,0
2020-8-8,60076,652,8214,0,50,98,102,94,118,93,39,58,282,365,0,156,51,114,157,100,69,0,0
2020-8-8,60077,487,6010,0,25,71,97,84,82,72,35,21,230,254,0,116,31,85,88,80,73,12,0
2020-8-8,60079,14,164,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0
2020-8-8,60081,76,1129,0,6,30,9,12,6,9,0,0,31,44,0,50,0,12,0,0,9,0,0
2020-8-8,60083,146,1863,0,9,23,29,33,16,23,9,0,79,66,0,35,22,26,9,17,37,0,0
2020-8-8,60084,223,2505,0,20,38,33,45,23,12,28,24,94,129,0,72,0,48,0,0,94,0,0
2020-8-8,60085,2869,17751,0,325,573,502,553,513,281,86,35,1341,1482,46,227,224,319,76,11,2005,0,0
2020-8-8,60087,887,6529,0,117,178,138,169,136,85,34,30,402,475,10,100,71,114,36,15,548,0,0
2020-8-8,60088,428,1139,0,172,190,47,8,0,0,0,0,308,119,0,224,90,18,15,19,59,0,0
2020-8-8,60089,401,7026,0,15,56,51,58,63,51,38,69,176,225,0,196,0,78,18,29,76,0,0
2020-8-8,60090,949,8141,0,67,154,150,161,150,108,49,110,459,474,16,157,10,277,44,34,422,0,0
2020-8-8,60091,222,4995,0,31,33,18,32,42,25,17,24,103,119,0,148,6,39,14,7,8,0,0
2020-8-8,60093,217,3982,0,36,43,25,35,46,14,9,9,116,97,0,120,0,30,12,7,45,0,0
2020-8-8,60096,75,976,0,9,12,16,14,9,9,0,0,44,31,0,41,0,13,0,0,13,0,0
2020-8-8,60097,76,1429,0,7,20,8,8,15,15,0,0,38,38,0,54,0,10,0,0,9,0,0
2020-8-8,60098,504,6534,0,55,74,59,66,80,75,46,49,242,260,0,254,17,40,0,12,178,0,0
2020-8-8,60099,738,6453,0,117,153,125,148,93,53,32,17,322,409,7,92,160,80,24,12,370,0,0
2020-8-8,60101,958,7317,0,81,186,179,201,156,105,34,16,501,453,0,134,19,173,40,21,569,0,0
2020-8-8,60102,316,4359,0,51,59,47,48,64,29,12,6,151,164,0,157,9,57,0,23,63,0,0
2020-8-8,60103,447,6920,0,28,99,62,80,93,54,17,14,202,239,6,158,8,157,9,37,74,0,0
2020-8-8,60104,533,4516,0,41,94,72,97,105,63,46,15,260,267,6,25,263,101,21,0,117,0,0
2020-8-8,60106,609,5577,0,45,120,132,110,95,55,27,25,339,268,0,88,17,127,13,15,349,0,0
2020-8-8,60107,794,7836,0,62,166,146,154,145,76,38,7,395,384,15,79,16,322,21,46,295,11,0
2020-8-8,60108,424,6611,0,18,51,42,53,54,73,60,73,194,208,22,165,17,136,10,35,55,0,0
2020-8-8,60109,15,393,0,0,0,0,0,0,0,0,0,0,7,6,0,0,10,0,0,0,0,0
2020-8-8,60110,931,6067,0,129,188,156,210,151,71,19,7,456,462,13,87,25,293,9,9,508,0,0
2020-8-8,60112,47,618,0,0,8,9,9,11,0,0,0,21,26,0,12,0,10,0,0,21,0,0
2020-8-8,60115,436,6803,0,47,118,75,56,46,25,29,40,185,250,0,167,76,26,0,11,153,0,0
2020-8-8,60118,122,2327,0,12,28,25,16,16,9,9,7,59,62,0,54,7,33,0,0,21,0,0
2020-8-8,60119,81,1451,0,8,18,13,13,18,0,0,0,42,39,0,53,0,15,0,0,12,0,0
2020-8-8,60120,1605,9829,0,153,356,271,323,259,129,57,57,754,830,21,148,44,439,20,23,914,16,0
2020-8-8,60123,1110,10132,0,113,219,198,209,163,105,48,55,495,597,18,161,50,293,21,18,565,0,0
2020-8-8,60124,237,3618,0,42,34,37,42,36,20,13,13,110,124,0,92,6,72,9,21,35,0,0
2020-8-8,60126,567,10001,0,111,86,56,81,82,56,39,56,306,257,0,265,25,145,29,26,73,0,0
2020-8-8,60130,208,5877,0,0,36,36,42,28,32,21,10,93,109,6,41,83,40,15,0,25,0,0
2020-8-8,60131,437,3608,0,51,67,88,95,72,44,8,12,209,224,0,94,0,98,17,10,210,0,0
2020-8-8,60133,912,7642,0,89,191,167,180,167,84,25,9,440,450,22,96,39,292,27,44,403,10,0
2020-8-8,60134,289,4609,0,38,40,21,34,45,28,29,54,127,156,6,155,0,94,0,0,32,0,0
2020-8-8,60135,87,1013,0,14,20,16,8,18,7,0,0,53,34,0,54,0,9,0,0,24,0,0
2020-8-8,60136,102,1138,0,8,17,17,20,26,8,0,0,42,59,0,36,0,22,0,17,23,0,0
2020-8-8,60137,351,7128,0,85,61,48,46,51,37,13,10,171,177,0,168,13,101,7,13,46,0,0
2020-8-8,60139,794,6678,0,87,153,138,157,118,90,44,7,397,395,0,96,30,169,36,99,363,0,0
2020-8-8,60140,171,2545,0,18,34,41,34,22,15,0,0,86,85,0,63,12,59,0,9,27,0,0
2020-8-8,60141,24,1238,0,0,0,0,0,0,0,0,0,17,7,0,6,6,8,0,0,0,0,0
2020-8-8,60142,202,4175,0,24,33,27,35,34,25,19,0,90,112,0,128,0,27,0,10,33,0,0
2020-8-8,60143,227,2285,0,9,25,30,28,33,44,28,30,108,118,0,87,0,75,0,14,40,0,0
2020-8-8,60145,15,255,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0
2020-8-8,60146,18,349,0,0,0,0,0,0,0,0,0,10,8,0,12,0,0,0,0,0,0,0
2020-8-8,60148,580,9269,0,59,119,90,70,96,57,28,61,263,304,13,233,45,136,24,29,108,0,0
2020-8-8,60150,8,225,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-8-8,60151,27,487,0,8,0,0,6,0,0,0,0,15,11,0,16,0,9,0,0,0,0,0
2020-8-8,60152,102,1659,0,7,13,18,20,13,8,8,15,45,57,0,59,0,7,0,0,35,0,0
2020-8-8,60153,632,5111,0,63,117,120,129,98,51,38,15,284,336,12,36,281,115,27,0,172,0,0
2020-8-8,60154,258,3965,0,26,34,36,41,35,38,33,15,116,140,0,51,71,54,20,11,50,0,0
2020-8-8,60155,209,1606,0,20,28,27,43,40,29,13,9,92,112,0,10,118,41,12,7,18,0,0
2020-8-8,60156,277,3717,0,34,78,38,42,50,22,10,0,142,135,0,139,11,42,0,17,64,0,0
2020-8-8,60157,20,365,0,0,0,0,8,0,0,0,0,12,8,0,10,0,6,0,0,0,0,0
2020-8-8,60160,869,5470,0,97,157,180,173,140,70,30,22,433,416,20,130,28,212,45,0,451,0,0
2020-8-8,60162,199,2744,0,11,45,27,40,29,27,10,10,89,102,8,17,58,35,9,0,76,0,0
2020-8-8,60163,116,1090,0,9,22,19,27,21,10,0,0,51,63,0,9,16,30,0,0,57,0,0
2020-8-8,60164,641,6887,0,48,135,91,121,131,63,26,26,335,296,10,118,7,160,32,11,312,0,0
2020-8-8,60165,204,961,0,25,46,38,39,30,14,10,0,94,108,0,26,7,41,12,0,116,0,0
2020-8-8,60169,517,5724,0,42,98,104,69,96,43,23,42,244,256,17,73,20,220,18,45,123,6,12
2020-8-8,60171,168,2035,0,18,30,29,32,27,26,0,0,82,86,0,53,0,42,7,0,58,0,0
2020-8-8,60172,311,4330,0,25,47,46,49,67,42,19,16,129,177,0,135,0,94,7,18,53,0,0
2020-8-8,60173,141,1708,0,8,31,31,21,26,8,0,12,65,73,0,26,0,53,8,16,31,0,0
2020-8-8,60174,340,5950,0,41,66,49,52,53,43,14,21,156,176,8,177,8,85,0,6,58,0,0
2020-8-8,60175,243,3592,0,54,48,27,22,50,27,13,0,124,117,0,142,0,73,0,6,17,0,0
2020-8-8,60176,228,1891,0,26,37,54,38,39,23,7,0,120,103,0,66,0,50,10,12,81,0,0
2020-8-8,60177,426,4297,0,44,68,59,45,55,39,47,69,174,210,42,117,10,180,10,21,87,0,0
2020-8-8,60178,143,2873,0,21,37,22,24,23,9,7,0,67,76,0,88,9,12,0,0,29,0,0
2020-8-8,60180,7,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-8-8,60181,376,4868,0,36,72,64,67,61,39,26,11,181,194,0,109,21,82,19,16,129,0,0
2020-8-8,60184,16,325,0,0,0,0,0,0,0,0,0,8,8,0,9,0,0,0,0,0,0,0
2020-8-8,60185,907,7036,0,103,152,195,169,148,84,43,13,463,425,19,120,12,210,10,23,532,0,0
2020-8-8,60187,242,6799,0,22,44,36,26,42,34,15,23,104,133,0,100,11,78,13,18,21,0,0
2020-8-8,60188,665,7983,0,62,110,107,103,100,68,39,76,298,360,7,174,35,210,20,63,159,0,0
2020-8-8,60189,223,5398,0,36,49,27,28,33,32,14,0,98,124,0,120,14,60,0,8,20,0,0
2020-8-8,60190,106,2511,0,9,17,18,13,27,10,8,0,51,53,0,50,0,39,0,0,13,0,0
2020-8-8,60191,265,2518,0,22,41,50,43,51,30,15,13,142,123,0,77,6,54,9,8,110,0,0
2020-8-8,60192,108,2035,0,10,14,17,21,23,10,8,0,48,59,0,34,0,42,9,14,0,0,0
2020-8-8,60193,379,7073,0,27,56,63,58,67,53,30,25,169,205,0,117,8,164,12,32,45,0,0
2020-8-8,60194,230,4459,0,19,31,47,36,32,20,15,30,98,128,0,48,8,99,9,18,46,0,0
2020-8-8,60195,28,579,0,0,0,6,0,0,0,0,0,10,16,0,6,0,13,0,0,0,0,0
2020-8-8,60201,396,9736,0,32,67,49,59,49,46,46,48,184,212,0,151,114,36,30,11,52,0,0
2020-8-8,60202,505,7656,0,33,67,70,71,68,61,41,94,207,295,0,142,139,66,37,14,107,0,0
2020-8-8,60203,44,1008,0,9,0,0,6,13,0,0,0,21,22,0,20,0,13,0,0,0,0,0
2020-8-8,60301,41,679,0,0,12,12,0,7,0,0,0,22,19,0,13,10,0,0,6,6,0,0
2020-8-8,60302,325,8173,0,32,46,49,60,45,35,27,31,143,174,8,125,107,38,17,8,30,0,0
2020-8-8,60304,121,3791,0,8,22,25,23,19,16,8,0,67,53,0,39,54,9,0,0,14,0,0
2020-8-8,60305,111,2465,0,17,18,14,21,20,15,0,0,60,51,0,49,9,22,14,0,16,0,0
2020-8-8,60401,72,1646,0,6,10,0,11,18,8,12,0,31,41,0,40,7,20,0,0,0,0,0
2020-8-8,60402,1777,14429,0,147,350,328,380,283,177,67,43,833,919,25,262,95,348,137,14,918,0,0
2020-8-8,60403,296,3698,0,27,49,52,64,50,24,11,19,141,153,0,58,61,80,6,10,80,0,0
2020-8-8,60404,192,3296,0,19,38,30,25,32,22,13,13,105,85,0,86,16,55,6,0,27,0,0
2020-8-8,60406,687,6020,0,77,145,123,101,128,63,28,22,335,348,0,45,136,299,19,0,184,0,0
2020-8-8,60408,32,998,0,0,9,0,0,6,0,0,0,17,15,0,19,0,7,0,0,0,0,0
2020-8-8,60409,866,9295,0,84,146,159,164,137,113,36,26,345,514,7,27,423,272,33,0,110,0,0
2020-8-8,60410,95,1817,0,20,21,8,20,14,8,0,0,49,45,0,47,0,36,0,0,9,0,0
2020-8-8,60411,1270,13209,0,111,233,200,218,208,145,98,56,557,696,17,105,491,448,29,0,185,0,6
2020-8-8,60415,290,3080,0,22,59,37,38,33,41,30,30,133,152,0,98,39,109,17,6,18,0,0
2020-8-8,60416,50,1059,0,8,13,10,0,11,0,0,0,23,26,0,36,0,12,0,0,0,0,0
2020-8-8,60417,231,3569,0,15,21,29,37,36,36,22,35,99,129,0,76,63,60,7,0,24,0,0
2020-8-8,60418,158,1331,0,12,23,18,16,15,24,19,31,50,105,0,60,22,63,0,0,11,0,0
2020-8-8,60419,558,6325,0,36,87,74,72,108,98,49,34,234,317,7,12,363,150,7,0,26,0,0
2020-8-8,60420,16,617,0,0,0,0,0,6,0,0,0,11,0,0,13,0,0,0,0,0,0,0
2020-8-8,60421,21,450,0,0,0,0,8,0,0,0,0,10,11,0,13,0,6,0,0,0,0,0
2020-8-8,60422,149,2372,0,19,20,22,29,25,16,7,11,69,80,0,17,79,49,0,0,0,0,0
