date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-26,60002,143,2238,0,16,24,25,27,24,18,7,0,75,68,0,66,8,31,0,0,30,0,0
2020-7-26,60004,425,10602,0,39,74,60,62,65,41,28,53,189,209,27,130,7,174,21,19,73,0,0
2020-7-26,60005,272,5483,0,23,48,43,45,38,27,20,28,124,148,0,84,13,99,12,10,53,0,0
2020-7-26,60007,399,4715,0,18,41,44,53,55,52,53,83,185,211,0,136,0,169,16,12,58,0,0
2020-7-26,60008,412,5123,0,38,52,72,84,80,52,23,11,212,197,0,75,6,155,15,7,154,0,0
2020-7-26,60010,266,5653,0,42,45,29,25,46,32,17,30,142,123,0,116,0,117,10,11,10,0,0
2020-7-26,60012,105,1219,0,0,12,0,7,15,6,13,43,48,56,0,76,0,14,0,0,8,0,0
2020-7-26,60013,178,2481,0,19,33,29,24,38,26,6,0,82,96,0,104,0,17,0,0,52,0,0
2020-7-26,60014,433,5587,0,55,71,69,71,58,46,25,38,185,246,0,244,12,37,0,12,124,0,0
2020-7-26,60015,223,4291,0,16,27,20,28,33,23,31,45,89,134,0,151,7,28,15,11,9,0,0
2020-7-26,60016,1233,10737,0,69,205,181,187,226,198,77,89,591,615,27,280,57,335,123,196,228,6,8
2020-7-26,60018,737,6426,0,45,132,111,133,115,78,42,81,346,376,15,135,16,253,30,30,269,0,0
2020-7-26,60020,64,1408,0,0,10,16,12,12,9,0,0,27,36,0,27,0,19,0,0,10,0,0
2020-7-26,60021,33,506,0,0,9,0,0,11,0,0,0,12,21,0,27,0,0,0,0,0,0,0
2020-7-26,60022,45,1233,0,9,11,0,0,12,0,0,0,25,20,0,31,0,6,0,0,0,0,0
2020-7-26,60025,492,6789,0,59,71,48,97,88,55,29,45,236,233,23,226,7,96,56,50,53,0,0
2020-7-26,60026,207,4201,0,22,20,18,23,28,16,23,57,77,118,12,96,0,45,23,26,12,0,0
2020-7-26,60029,12,130,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-26,60030,268,5059,0,27,69,38,34,40,36,15,9,127,135,6,122,17,33,13,10,71,0,0
2020-7-26,60031,437,6349,0,46,95,70,55,76,46,22,27,191,242,0,146,56,55,24,24,128,0,0
2020-7-26,60033,275,2038,0,44,47,50,60,41,18,10,0,127,144,0,44,0,11,0,0,215,0,0
2020-7-26,60035,324,6529,0,23,54,49,46,52,27,28,45,161,162,0,157,17,48,23,11,65,0,0
2020-7-26,60040,184,1184,0,13,14,27,30,26,17,23,34,81,99,0,63,0,15,0,0,100,0,0
2020-7-26,60041,64,1163,0,0,14,12,10,11,8,0,0,30,34,0,31,0,9,0,0,18,0,0
2020-7-26,60042,65,912,0,6,16,10,12,11,6,0,0,32,33,0,20,0,12,0,0,30,0,0
2020-7-26,60043,20,378,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-7-26,60044,125,2039,0,9,11,14,10,12,11,15,43,51,74,0,65,11,12,7,15,15,0,0
2020-7-26,60045,145,3489,0,8,30,10,22,32,22,10,11,76,68,0,103,0,21,6,7,6,0,0
2020-7-26,60046,292,4157,0,38,51,40,40,59,32,11,21,148,143,0,130,15,42,16,13,74,0,0
2020-7-26,60047,601,8174,0,98,42,35,52,77,62,78,157,272,326,0,358,0,163,15,11,49,0,0
2020-7-26,60048,216,3995,0,24,20,18,30,18,23,25,58,98,116,0,151,8,27,9,0,17,0,0
2020-7-26,60050,279,4029,0,19,30,33,53,49,40,30,25,140,139,0,155,6,16,0,10,90,0,0
2020-7-26,60051,166,2693,0,8,33,17,31,36,28,8,0,79,86,0,109,0,11,0,0,37,0,0
2020-7-26,60053,352,4464,0,11,36,60,48,61,72,31,33,176,176,0,96,14,90,41,74,28,0,0
2020-7-26,60056,731,8035,0,47,120,144,163,133,71,30,23,357,366,8,152,17,223,47,56,230,0,0
