date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-6-30,60002,117,1547,0,10,19,24,25,21,16,0,0,60,57,0,50,6,27,0,0,27,0,0
2020-6-30,60004,373,7616,0,31,55,50,61,58,41,24,49,159,186,28,117,9,141,17,17,71,0,0
2020-6-30,60005,215,3608,0,10,33,37,38,31,23,17,26,97,118,0,62,13,74,6,10,49,0,0
2020-6-30,60007,371,3247,0,16,36,34,49,50,52,53,81,168,199,0,122,0,159,14,11,57,0,0
2020-6-30,60008,352,3878,0,27,38,67,79,64,49,19,9,188,161,0,57,0,122,11,6,151,0,0
2020-6-30,60010,164,3115,0,12,20,24,12,33,24,15,24,86,77,0,84,0,57,0,8,9,0,0
2020-6-30,60012,88,753,0,0,0,0,6,13,0,12,43,38,49,0,64,0,11,0,0,8,0,0
2020-6-30,60013,111,1427,0,10,15,21,18,21,20,0,0,49,62,0,59,0,6,0,0,43,0,0
2020-6-30,60014,311,3527,0,27,36,54,50,49,37,25,33,133,176,0,172,11,17,0,9,99,0,0
2020-6-30,60015,191,2553,0,9,17,17,26,30,18,30,44,77,113,0,130,6,23,12,10,9,0,0
2020-6-30,60016,1122,7618,0,59,180,161,173,210,185,70,83,540,554,28,246,51,307,113,181,209,7,8
2020-6-30,60018,680,4414,0,38,119,100,125,110,71,38,79,321,343,16,116,12,237,26,25,260,0,0
2020-6-30,60020,42,936,0,0,0,10,10,6,8,0,0,18,23,0,17,0,12,0,0,8,0,0
2020-6-30,60021,22,317,0,0,6,0,0,8,0,0,0,7,15,0,17,0,0,0,0,0,0,0
2020-6-30,60022,31,677,0,6,8,0,0,8,0,0,0,16,15,0,23,0,0,0,0,0,0,0
2020-6-30,60025,386,4389,0,19,49,42,83,77,50,26,40,188,175,23,166,7,69,44,44,52,0,0
2020-6-30,60026,157,2096,0,0,11,17,20,22,13,18,52,51,97,9,72,0,27,16,24,13,0,0
2020-6-30,60029,8,83,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-6-30,60030,201,3118,0,23,46,26,28,32,28,9,9,96,98,7,87,12,21,11,8,60,0,0
2020-6-30,60031,369,3980,0,35,72,62,50,67,37,18,28,161,204,0,116,46,41,22,27,113,0,0
2020-6-30,60033,227,1356,0,34,34,43,53,36,15,7,0,106,121,0,31,0,0,0,0,186,0,0
2020-6-30,60035,283,3825,0,14,45,46,43,44,26,27,38,142,141,0,143,14,32,20,8,64,0,0
2020-6-30,60040,179,812,0,11,11,26,30,27,17,22,35,79,93,7,63,0,16,0,0,93,0,0
2020-6-30,60041,52,757,0,0,11,9,8,11,7,0,0,24,28,0,21,0,9,0,0,17,0,0
2020-6-30,60042,45,562,0,0,12,8,9,7,0,0,0,20,25,0,15,0,0,0,0,22,0,0
2020-6-30,60043,19,254,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-6-30,60044,106,1224,0,6,0,13,0,12,9,15,41,42,64,0,56,10,8,6,15,11,0,0
2020-6-30,60045,130,2151,0,7,22,9,22,29,22,8,11,68,61,0,96,0,16,7,6,0,0,0
2020-6-30,60046,217,2610,0,20,32,34,29,44,30,8,20,113,103,0,90,14,28,11,9,64,0,0
2020-6-30,60047,445,4086,0,18,29,27,43,54,54,72,148,191,253,0,289,0,96,7,8,42,0,0
2020-6-30,60048,164,2283,0,8,14,12,22,15,20,21,52,72,91,0,116,8,21,7,0,9,0,0
2020-6-30,60050,238,2600,0,12,23,27,45,41,36,29,25,121,117,0,128,0,13,0,10,81,0,0
2020-6-30,60051,131,1773,0,8,23,14,25,28,21,8,0,63,67,0,84,0,0,0,0,36,0,0
2020-6-30,60053,322,2609,0,12,32,54,44,55,68,28,29,160,161,0,86,15,76,37,74,25,0,0
