date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-27,60002,143,2284,0,16,24,25,27,24,18,7,0,75,68,0,66,8,31,0,0,30,0,0
2020-7-27,60004,425,10675,0,40,73,60,62,65,41,28,53,189,209,27,130,7,174,21,19,73,0,0
2020-7-27,60005,272,5526,0,23,48,43,45,37,27,21,28,124,148,0,85,13,98,12,10,53,0,0
2020-7-27,60007,401,4757,0,19,41,44,53,56,52,53,83,185,213,0,136,0,170,16,12,59,0,0
2020-7-27,60008,412,5157,0,38,52,72,84,80,52,23,11,212,197,0,75,6,155,15,7,154,0,0
2020-7-27,60010,267,5715,0,42,45,29,25,47,32,17,30,142,124,0,116,0,118,10,11,10,0,0
2020-7-27,60012,106,1238,0,0,13,0,7,15,6,13,43,49,56,0,76,0,15,0,0,8,0,0
2020-7-27,60013,178,2528,0,20,33,29,24,38,26,0,0,81,97,0,104,0,16,0,0,52,0,0
2020-7-27,60014,436,5640,0,55,72,71,71,58,46,25,38,186,248,0,245,12,39,0,12,124,0,0
2020-7-27,60015,223,4345,0,16,27,20,28,33,23,31,45,89,134,0,151,7,28,15,11,9,0,0
2020-7-27,60016,1235,10826,0,69,205,181,188,226,199,77,89,592,616,27,280,57,336,124,196,228,6,8
2020-7-27,60018,739,6470,0,45,133,111,133,115,79,42,81,348,376,15,136,16,254,30,30,269,0,0
2020-7-27,60020,64,1426,0,0,10,15,13,12,9,0,0,27,36,0,28,0,19,0,0,9,0,0
2020-7-27,60021,33,512,0,0,9,0,0,11,0,0,0,12,21,0,27,0,0,0,0,0,0,0
2020-7-27,60022,45,1251,0,9,11,0,0,12,0,0,0,25,20,0,31,0,6,0,0,0,0,0
2020-7-27,60025,495,6882,0,59,73,48,98,88,55,29,45,237,235,23,228,7,96,57,50,53,0,0
2020-7-27,60026,207,4224,0,22,20,18,23,28,16,23,57,77,118,12,96,0,45,23,26,12,0,0
2020-7-27,60029,12,131,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-27,60030,269,5130,0,28,69,38,34,40,36,15,9,128,135,6,122,17,33,13,10,72,0,0
2020-7-27,60031,441,6431,0,47,96,70,55,77,47,22,27,193,244,0,150,56,55,24,24,128,0,0
2020-7-27,60033,276,2058,0,44,48,50,60,41,18,10,0,127,145,0,44,0,12,0,0,215,0,0
2020-7-27,60035,324,6608,0,23,54,49,46,52,27,28,45,161,162,0,157,17,48,23,11,65,0,0
2020-7-27,60040,184,1195,0,13,14,27,30,26,17,23,34,81,99,0,63,0,15,0,0,100,0,0
