date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-24,60002,139,2166,0,15,22,25,27,24,18,6,0,73,66,0,62,8,31,0,0,30,0,0
2020-7-24,60004,435,10374,0,40,73,62,63,69,43,29,53,191,216,28,131,9,174,22,20,78,0,0
2020-7-24,60005,270,5355,0,23,47,43,44,38,27,20,28,123,147,0,83,13,98,12,10,53,0,0
2020-7-24,60007,392,4624,0,18,40,39,52,55,52,53,83,181,208,0,132,0,166,16,12,58,0,0
2020-7-24,60008,405,5034,0,36,51,71,83,79,51,23,11,209,193,0,71,6,153,15,7,153,0,0
2020-7-24,60010,260,5480,0,42,45,27,25,46,29,16,30,138,121,0,112,0,116,10,10,10,0,0
2020-7-24,60012,100,1191,0,0,11,0,6,15,0,13,43,46,53,0,72,0,13,0,0,8,0,0
2020-7-24,60013,173,2401,0,19,31,28,25,37,25,0,0,77,96,0,100,0,17,0,0,51,0,0
2020-7-24,60014,416,5424,0,52,64,69,68,56,44,25,38,178,236,0,238,12,32,0,12,118,0,0
2020-7-24,60015,222,4154,0,16,26,20,28,33,23,31,45,89,133,0,152,7,27,15,11,9,0,0
2020-7-24,60016,1226,10511,0,69,204,180,185,226,196,76,89,586,613,27,279,56,333,122,194,228,6,8
2020-7-24,60018,731,6279,0,45,129,110,131,115,78,43,80,344,372,15,134,16,251,29,30,267,0,0
2020-7-24,60020,59,1362,0,0,9,13,11,12,9,0,0,25,33,0,23,0,19,0,0,9,0,0
2020-7-24,60021,33,488,0,0,9,0,0,11,0,0,0,12,21,0,27,0,0,0,0,0,0,0
2020-7-24,60022,44,1190,0,9,11,0,0,11,0,0,0,25,19,0,30,0,6,0,0,0,0,0
2020-7-24,60025,484,6601,0,57,67,48,97,87,54,29,45,233,228,23,223,7,94,55,48,53,0,0
2020-7-24,60026,203,4067,0,21,20,18,20,28,16,23,57,74,117,12,93,0,44,23,26,12,0,0
2020-7-24,60029,12,130,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-24,60030,258,4917,0,26,67,37,32,39,34,14,9,122,130,6,118,15,32,13,10,68,0,0
2020-7-24,60031,429,6145,0,45,93,69,53,75,46,21,27,186,239,0,145,54,51,24,24,127,0,0
2020-7-24,60033,264,1978,0,41,46,48,58,40,17,9,0,124,136,0,42,0,10,0,0,207,0,0
2020-7-24,60035,322,6394,0,23,54,49,46,52,26,28,44,160,161,0,155,17,48,23,11,65,0,0
2020-7-24,60040,184,1156,0,13,14,27,30,26,17,23,34,81,99,0,63,0,15,0,0,100,0,0
2020-7-24,60041,64,1129,0,0,14,11,10,11,9,0,0,30,34,0,32,0,8,0,0,18,0,0
2020-7-24,60042,64,878,0,6,16,10,13,10,0,0,0,31,33,0,20,0,11,0,0,30,0,0
2020-7-24,60043,20,368,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-7-24,60044,124,1953,0,9,11,14,10,12,10,15,43,50,74,0,65,11,12,7,15,14,0,0
