date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-17,60002,131,1952,0,14,20,24,26,22,19,0,0,69,62,0,59,8,28,0,0,29,0,0
2020-7-17,60004,406,9534,0,36,65,58,60,64,42,27,50,179,199,28,122,9,161,21,18,74,0,0
2020-7-17,60005,257,4830,0,20,43,42,41,36,26,20,29,118,139,0,71,13,97,12,10,53,0,0
2020-7-17,60007,383,4242,0,18,40,37,49,51,52,54,82,178,202,0,124,0,166,15,12,58,0,0
2020-7-17,60008,384,4711,0,32,46,70,80,74,50,22,10,200,181,0,68,0,141,12,6,152,0,0
2020-7-17,60010,237,4703,0,37,40,26,19,43,29,16,27,128,108,0,106,0,104,8,8,9,0,0
2020-7-17,60012,98,1050,0,0,9,0,6,15,0,13,43,45,52,0,72,0,11,0,0,8,0,0
2020-7-17,60013,159,2074,0,16,30,25,23,32,25,0,0,72,87,0,93,0,13,0,0,48,0,0
2020-7-17,60014,373,4770,0,41,47,63,62,54,43,25,38,159,212,0,220,11,15,0,11,112,0,0
2020-7-17,60015,215,3621,0,13,24,19,28,32,23,31,45,88,126,0,146,7,26,15,11,9,0,0
2020-7-17,60016,1196,9676,0,64,198,174,181,223,193,75,87,574,595,27,270,57,328,116,191,219,7,8
2020-7-17,60018,715,5703,0,43,125,107,131,112,76,41,80,338,362,15,129,14,250,26,29,263,0,0
2020-7-17,60020,50,1200,0,0,0,11,11,10,8,0,0,21,28,0,20,0,15,0,0,8,0,0
2020-7-17,60021,31,430,0,0,8,0,0,11,0,0,0,11,20,0,24,0,0,0,0,0,0,0
2020-7-17,60022,41,988,0,8,10,0,0,11,0,0,0,23,18,0,28,0,0,0,0,0,0,0
2020-7-17,60025,459,5850,0,53,61,45,92,85,50,29,44,223,213,23,210,7,87,50,47,54,0,0
2020-7-17,60026,189,3572,0,20,17,18,20,26,14,20,54,68,109,12,86,0,37,23,26,12,0,0
2020-7-17,60029,12,122,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-17,60030,233,4293,0,25,58,32,31,36,29,13,9,111,115,7,108,13,26,12,8,64,0,0
2020-7-17,60031,396,5460,0,41,83,65,51,69,40,19,28,173,219,0,132,50,43,23,26,118,0,0
2020-7-17,60033,246,1773,0,36,42,46,54,38,16,9,0,114,130,0,38,0,7,0,0,196,0,0
2020-7-17,60035,306,5557,0,19,52,48,45,46,26,28,42,151,154,0,146,17,45,22,9,64,0,0
2020-7-17,60040,185,1060,0,13,13,28,29,27,17,23,35,82,98,0,65,0,15,0,0,98,0,0
2020-7-17,60041,60,1006,0,0,12,10,10,11,9,0,0,28,32,0,29,0,8,0,0,17,0,0
2020-7-17,60042,60,751,0,6,15,10,11,9,0,0,0,29,31,0,19,0,8,0,0,30,0,0
2020-7-17,60043,19,325,0,0,0,0,0,9,0,0,0,9,10,0,15,0,0,0,0,0,0,0
2020-7-17,60044,118,1738,0,7,10,13,8,12,10,15,43,48,70,0,64,10,10,7,15,12,0,0
2020-7-17,60045,139,3054,0,7,26,10,22,31,22,9,12,74,64,0,101,0,18,7,7,0,0,0
2020-7-17,60046,256,3549,0,29,41,36,36,54,31,8,21,130,125,0,113,14,35,14,10,68,0,0
2020-7-17,60047,558,6824,0,84,37,33,49,64,61,75,155,253,302,0,326,0,163,10,9,47,0,0
