date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-8-6,60002,159,2646,0,18,28,30,29,25,21,6,0,82,77,0,75,8,34,0,0,32,0,0
2020-8-6,60004,440,12026,0,42,80,62,64,69,43,29,51,201,214,25,145,8,172,20,19,74,0,0
2020-8-6,60005,296,6396,0,27,51,49,49,42,29,21,28,134,161,0,101,13,99,14,11,57,0,0
2020-8-6,60007,412,5371,0,20,42,48,54,59,54,53,82,191,218,0,142,0,175,16,12,59,0,0
2020-8-6,60008,439,5753,0,41,58,77,87,84,55,24,13,226,210,0,94,7,158,15,7,158,0,0
2020-8-6,60010,311,6708,0,53,57,30,30,54,38,20,29,163,147,0,149,0,122,13,13,12,0,0
2020-8-6,60012,117,1413,0,6,16,7,8,15,8,14,43,53,63,0,84,0,16,0,0,9,0,0
2020-8-6,60013,209,2991,0,23,45,33,26,43,30,6,0,97,112,0,117,0,30,0,0,56,0,0
2020-8-6,60014,486,6556,0,64,83,77,78,60,53,32,39,213,271,0,277,13,48,0,12,131,0,0
2020-8-6,60015,261,5187,0,41,31,20,27,39,26,32,45,110,151,0,174,7,37,18,12,11,0,0
2020-8-6,60016,1286,12032,0,75,218,195,196,232,201,79,90,614,646,26,299,58,348,130,200,237,6,8
2020-8-6,60018,752,7055,0,46,136,113,135,118,81,42,81,354,383,15,137,16,259,30,30,275,0,0
2020-8-6,60020,76,1678,0,8,16,16,13,13,9,0,0,33,42,0,31,0,25,0,0,12,0,0
2020-8-6,60021,35,588,0,0,9,0,0,11,0,0,0,13,22,0,29,0,0,0,0,0,0,0
2020-8-6,60022,52,1500,0,10,16,0,0,14,0,0,0,27,24,0,37,0,7,0,0,0,0,0
2020-8-6,60025,516,7871,0,63,82,50,98,89,59,30,45,240,252,24,240,7,100,61,51,53,0,0
2020-8-6,60026,213,4595,0,22,24,19,21,28,16,25,58,76,125,12,101,6,45,23,26,12,0,0
2020-8-6,60029,12,150,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-8-6,60030,307,5996,0,34,79,45,38,49,36,16,10,149,151,7,136,18,43,19,10,78,0,0
2020-8-6,60031,482,7423,0,51,108,75,62,82,51,24,29,212,265,0,165,59,65,26,26,137,0,0
2020-8-6,60033,299,2369,0,46,57,54,66,41,19,11,0,138,155,6,51,0,14,0,0,229,0,0
2020-8-6,60034,6,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-8-6,60035,346,7807,0,26,55,56,48,56,29,29,47,175,170,0,165,18,57,24,11,67,0,0
2020-8-6,60040,186,1370,0,14,14,27,30,26,18,23,34,81,101,0,63,0,16,0,0,101,0,0
2020-8-6,60041,69,1361,0,0,15,13,11,11,9,0,0,33,36,0,34,0,9,0,0,20,0,0
2020-8-6,60042,71,1082,0,7,17,11,12,12,8,0,0,38,33,0,24,0,13,0,0,31,0,0
2020-8-6,60043,20,446,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-8-6,60044,130,2410,0,14,12,14,9,12,13,15,41,56,74,0,66,11,15,8,14,15,0,0
2020-8-6,60045,154,4023,0,9,34,11,22,34,22,11,11,79,74,0,106,0,25,6,8,6,0,0
2020-8-6,60046,345,5077,0,45,64,51,45,68,37,14,21,175,169,0,155,15,54,23,14,81,0,0
2020-8-6,60047,630,9515,0,103,46,42,55,82,67,78,157,285,341,0,378,0,174,13,10,49,0,0
2020-8-6,60048,229,4735,0,30,22,20,30,21,23,25,58,103,124,0,160,9,29,9,0,18,0,0
2020-8-6,60050,321,4697,0,23,38,44,62,51,44,34,25,162,159,0,174,6,29,0,10,99,0,0
2020-8-6,60051,184,3220,0,9,40,20,32,38,30,9,6,87,95,0,123,0,13,0,0,36,0,0
2020-8-6,60053,379,5279,0,16,43,62,51,64,74,32,37,189,190,0,105,15,99,41,80,29,0,6
2020-8-6,60056,774,9331,0,54,133,148,166,138,79,32,24,377,388,9,171,17,229,50,57,244,0,0
2020-8-6,60060,557,5792,0,63,119,73,111,112,62,8,9,278,276,0,118,10,82,34,22,289,0,0
2020-8-6,60061,250,4254,0,22,52,35,45,46,22,9,19,119,131,0,94,9,39,13,23,69,0,0
2020-8-6,60062,428,10788,0,27,54,36,51,65,66,45,84,201,219,8,217,7,107,39,31,24,0,0
2020-8-6,60064,723,3290,0,113,192,107,105,91,73,27,15,410,303,10,130,147,65,26,22,330,0,0
2020-8-6,60067,361,8606,0,57,63,48,43,55,41,22,32,150,203,8,160,10,115,16,12,43,0,0
2020-8-6,60068,408,7234,0,21,74,44,46,55,50,26,92,180,219,9,235,0,98,25,21,23,0,0
2020-8-6,60069,118,3626,0,0,17,13,8,16,12,19,32,51,67,0,75,0,23,0,0,9,0,0
2020-8-6,60070,303,3406,0,28,43,57,70,47,26,13,19,149,150,0,51,0,68,13,8,158,0,0
2020-8-6,60071,24,487,0,0,0,0,0,0,0,0,0,13,11,0,18,0,0,0,0,0,0,0
2020-8-6,60073,1388,11929,0,185,281,261,292,210,93,40,25,653,722,13,209,49,154,57,29,887,0,0
2020-8-6,60074,596,5987,0,70,113,128,109,95,54,14,13,276,313,7,88,17,181,18,17,274,0,0
2020-8-6,60076,642,7869,0,50,97,98,92,116,92,39,58,281,356,0,155,51,111,152,99,69,0,0
2020-8-6,60077,482,5863,0,26,68,95,83,82,72,35,21,229,250,0,116,31,82,87,77,75,12,0
2020-8-6,60079,14,162,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0
2020-8-6,60081,73,1096,0,6,28,8,12,6,9,0,0,30,42,0,48,0,11,0,0,9,0,0
2020-8-6,60083,140,1817,0,8,23,28,32,16,22,8,0,74,65,0,34,22,23,9,17,35,0,0
2020-8-6,60084,220,2370,0,20,37,32,45,23,12,28,23,93,127,0,71,0,46,0,0,94,0,0
2020-8-6,60085,2831,17298,0,319,557,493,549,511,280,86,35,1320,1465,46,224,219,314,71,11,1985,0,0
2020-8-6,60087,871,6374,0,112,176,134,167,135,84,33,30,395,466,10,100,68,111,35,15,539,0,0
2020-8-6,60088,395,1118,0,146,183,47,8,0,0,0,0,287,107,0,208,81,18,12,18,55,0,0
