date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-8-5,60002,159,2600,0,18,28,30,29,25,21,6,0,82,77,0,74,8,35,0,0,32,0,0
2020-8-5,60004,438,11870,0,42,80,63,64,68,41,29,51,200,213,25,143,8,173,20,19,73,0,0
2020-8-5,60005,294,6294,0,27,51,49,49,40,29,21,28,134,159,0,100,13,99,13,11,57,0,0
2020-8-5,60007,411,5287,0,20,42,48,54,58,54,53,82,190,218,0,142,0,174,16,12,59,0,0
2020-8-5,60008,435,5695,0,41,58,74,86,84,55,24,13,224,208,0,94,7,155,15,7,157,0,0
2020-8-5,60010,303,6612,0,49,57,30,30,52,37,20,28,159,143,0,143,0,120,13,13,12,0,0
2020-8-5,60012,117,1390,0,6,16,7,8,15,8,14,43,53,63,0,84,0,16,0,0,9,0,0
2020-8-5,60013,207,2945,0,23,44,33,26,42,30,6,0,96,111,0,117,0,30,0,0,54,0,0
2020-8-5,60014,482,6446,0,63,82,76,78,60,53,32,38,212,268,0,276,13,45,0,12,131,0,0
2020-8-5,60015,257,5073,0,38,30,20,27,39,26,32,45,108,149,0,172,7,36,18,12,10,0,0
2020-8-5,60016,1281,11900,0,75,216,194,195,232,201,79,89,613,642,26,298,58,346,129,200,236,6,8
2020-8-5,60018,752,6988,0,46,136,113,135,118,81,42,81,354,383,15,137,16,259,30,30,275,0,0
2020-8-5,60020,75,1655,0,8,15,16,13,13,9,0,0,32,42,0,31,0,24,0,0,12,0,0
2020-8-5,60021,35,578,0,0,9,0,0,11,0,0,0,13,22,0,29,0,0,0,0,0,0,0
2020-8-5,60022,51,1462,0,10,15,0,0,14,0,0,0,27,24,0,37,0,6,0,0,0,0,0
2020-8-5,60025,514,7743,0,62,81,50,98,89,59,30,45,240,250,24,239,7,99,61,51,53,0,0
2020-8-5,60026,211,4561,0,22,22,19,21,28,16,25,58,75,124,12,101,0,44,23,26,12,0,0
2020-8-5,60029,12,148,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-8-5,60030,301,5891,0,33,78,45,37,46,36,16,10,146,148,7,133,18,42,19,10,77,0,0
2020-8-5,60031,477,7304,0,50,107,74,62,82,50,24,28,209,263,0,163,59,64,26,25,136,0,0
2020-8-5,60033,298,2348,0,46,56,54,66,41,19,11,0,138,154,6,51,0,14,0,0,228,0,0
2020-8-5,60034,6,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-8-5,60035,345,7658,0,26,55,55,48,56,29,29,47,174,170,0,165,18,56,24,11,67,0,0
2020-8-5,60040,186,1352,0,14,14,27,30,26,18,23,34,81,101,0,63,0,16,0,0,101,0,0
2020-8-5,60041,69,1340,0,0,15,13,11,11,9,0,0,33,36,0,34,0,9,0,0,20,0,0
2020-8-5,60042,71,1074,0,7,17,11,12,12,8,0,0,38,33,0,24,0,13,0,0,31,0,0
2020-8-5,60043,20,444,0,0,0,0,0,9,0,0,0,9,11,0,15,0,0,0,0,0,0,0
2020-8-5,60044,131,2368,0,14,12,14,9,12,13,15,42,56,75,0,66,11,15,8,15,15,0,0
2020-8-5,60045,154,3959,0,9,34,11,22,34,22,11,11,79,74,0,106,0,25,6,8,6,0,0
2020-8-5,60046,339,4970,0,45,63,50,44,67,37,12,21,172,166,0,153,15,53,22,14,79,0,0
2020-8-5,60047,627,9391,0,103,45,42,55,82,65,78,157,284,339,0,377,0,172,13,10,49,0,0
2020-8-5,60048,227,4682,0,29,22,20,30,20,23,25,58,103,122,0,158,9,29,9,0,18,0,0
2020-8-5,60050,317,4637,0,23,36,43,61,51,44,34,25,160,157,0,172,6,28,0,10,98,0,0
2020-8-5,60051,183,3166,0,9,39,20,32,38,30,9,6,86,95,0,123,0,12,0,0,36,0,0
2020-8-5,60053,376,5207,0,16,42,61,51,64,74,32,36,187,189,0,105,15,97,41,79,29,0,6
2020-8-5,60056,770,9175,0,53,133,148,166,138,79,30,23,374,387,9,170,17,229,51,57,240,0,0
2020-8-5,60060,555,5716,0,63,119,72,111,112,62,7,9,278,274,0,118,10,81,34,22,288,0,0
2020-8-5,60061,249,4192,0,22,52,35,44,46,22,9,19,119,130,0,94,9,39,13,23,68,0,0
2020-8-5,60062,424,10646,0,26,54,36,51,65,66,43,83,201,215,8,215,7,105,39,31,24,0,0
2020-8-5,60064,722,3237,0,113,192,106,105,91,73,27,15,410,302,10,130,146,65,26,22,330,0,0
2020-8-5,60067,357,8470,0,55,62,48,43,54,41,22,32,147,202,8,157,10,114,16,12,43,0,0
2020-8-5,60068,406,7159,0,21,73,44,45,55,50,26,92,180,217,9,233,0,98,25,21,23,0,0
2020-8-5,60069,118,3603,0,0,17,13,8,16,12,19,32,51,67,0,75,0,23,0,0,9,0,0
2020-8-5,60070,301,3364,0,28,43,56,70,47,25,13,19,149,148,0,51,0,67,13,8,157,0,0
2020-8-5,60071,24,473,0,0,0,0,0,0,0,0,0,13,11,0,18,0,0,0,0,0,0,0
2020-8-5,60073,1378,11746,0,182,281,257,290,209,93,40,25,648,717,13,207,49,153,55,29,882,0,0
2020-8-5,60074,590,5903,0,66,112,128,109,95,54,13,13,273,310,7,86,17,182,18,16,270,0,0
2020-8-5,60076,635,7719,0,47,94,97,92,116,92,39,58,279,352,0,153,51,109,151,98,68,0,0
2020-8-5,60077,478,5811,0,25,66,95,83,82,71,35,21,228,247,0,116,31,80,87,77,73,12,0
2020-8-5,60079,14,159,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0
